THREAD,   PERF (GFlop/s),         MEM (GB),          L3 (GB),          L2 (GB),          FS (MB)
    1,         0.975373,          10.4496,          12.5224,          13.2762,           0.0051
    2,         1.926930,          10.9498,          12.5178,          13.2772,           0.3312
    3,         2.781321,          11.1905,          12.5132,          13.2772,           0.2682
    4,         3.647013,          11.3139,          12.5089,          13.2769,           0.2419
    5,         4.415652,          11.4349,          12.5051,          13.2767,           0.2229
    6,         5.059435,          11.5978,          12.5006,          13.2763,           0.2235
    7,         5.348985,          11.5976,          12.4987,          13.2755,           0.2297
    8,         5.487384,          11.7888,          12.4993,          13.2759,           0.2696
    9,         5.510206,          11.7526,          12.4982,          13.2764,           0.2914
   10,         5.479724,          11.8691,          12.4985,          13.2790,           0.3927
