THREAD,   PERF (GFlop/s),         MEM (GB),          L3 (GB),          L2 (GB),          FS (MB)
    1,         0.299462,                 ,                 ,                 ,                 
    2,         0.570089,                 ,                 ,                 ,                 
    3,         0.797680,                 ,                 ,                 ,                 
    4,         0.985075,                 ,                 ,                 ,                 
    5,         1.157646,                 ,                 ,                 ,                 
    6,         1.289310,                 ,                 ,                 ,                 
    7,         1.378955,                 ,                 ,                 ,                 
    8,         1.442740,                 ,                 ,                 ,                 
    9,         1.489895,                 ,                 ,                 ,                 
   10,         1.531925,         597.9621,         760.4453,         790.0523,        2436.6962
