THREAD,   PERF (GFlop/s),         MEM (GB),          L3 (GB),          L2 (GB),          FS (MB)
    1,         0.376182,                 ,                 ,                 ,                 
    2,         0.721949,                 ,                 ,                 ,                 
    3,         0.987691,                 ,                 ,                 ,                 
    4,         1.203168,                 ,                 ,                 ,                 
    5,         1.436704,                 ,                 ,                 ,                 
    6,         1.613429,                 ,                 ,                 ,                 
    7,         1.764210,                 ,                 ,                 ,                 
    8,         1.883887,                 ,                 ,                 ,                 
    9,         1.977637,                 ,                 ,                 ,                 
   10,         2.054205,         416.2148,         543.5364,         572.0309,        1707.5142
