Id | Matrix | NNZR | SymmSpMV measured alpha copy | SymmSpMV opt alpha copy | SymmSpMV SpMV alpha copy | SymmSpMV measured alpha ld | SymmSpMV opt alpha ld | SymmSpMV SpMV alpha ld
0|Anderson-16.5.mtx             |7|19.15212087640105|21.89473684210526|21.354327579024616|21.177825969097313|24.210526315789473|18.488309925277292
1|audikw_1.mtx                  |82.284898|30.601322242191323|32.827270421802695|32.827270421802695|33.83800055626925|36.299385562570286|30.051193709743707
2|bone010.mtx                   |72.632114|31.302577971608205|32.600507061110385|32.600507061110385|34.61342756475907|36.04863761565091|30.22589921882253
3|channel-500x100x100-b050.mtx  |18.776498|25.107708815137492|28.048138338442648|28.048138338442648|27.763331862892418|31.014768355008698|24.050487903410477
4|crankseg_1.mtx                |201.011476|33.88391443321596|33.88391443321596|33.88391443321596|37.46778999826765|37.46778999826765|37.46778999826765
5|delaunay_n24.mtx              |5.999994|18.167625421267388|20.79999286856776|18.90612279455462|20.08920118697836|22.999992114281657|16.543181470542784
6|dielFilterV3real.mtx          |80.979395|30.046007594627486|32.79955609446146|32.79955609446146|33.2239507055977|36.26873991214488|29.184362763367794
7|Emilia_923.mtx                |44.419464|29.379078942831114|31.43667513758566|31.43667513758566|32.486481523322865|34.761708084830296|29.468017295325478
8|F1.mtx                        |78.062291|32.73450624945676|32.73450624945676|32.73450624945676|36.196809795072376|36.196809795072376|33.76531813239089
9|Fault_639.mtx                 |44.794105|31.369144841935526|31.46065588969227|31.46065588969227|34.68703516175563|34.788225262640495|31.519085520778237
10|Flan_1565.mtx                 |75.029713|31.034442066523432|32.66189546818124|32.66189546818124|34.31693113125188|36.1165190273158|31.79813403439516
11|FreeBosonChain-18.mtx         |12.461538|21.788631100011006|25.74257403022112|24.761935888769127|24.09319785097371|28.465346283417585|21.334062133126206
12|FreeFermionChain-26.mtx       |13.52|19.030557606095222|26.234885337039614|21.491065366516946|21.04340504520145|29.009728978457265|18.88820708844789
13|G3_circuit.mtx                |4.831872|19.257114640970986|19.257114640970986|19.257114640970986|21.293924843381376|21.293924843381376|21.293924843381376
14|Geo_1438.mtx                  |43.921034|29.03360063990211|31.404208928098313|31.404208928098313|32.10446224604561|34.72580794933948|29.124769102360165
15|Graphene-4096.mtx             |12.994629|25.33332832179717|25.997505603710582|25.997505603710582|28.012814971218024|28.747241773333815|25.610194689050118
16|gsm_106857.mtx                |36.914194|30.867359296056815|30.867359296056815|30.867359296056815|34.13217614467821|34.13217614467821|31.191672529690972
17|Hook_1498.mtx                 |40.665227|28.36529966442702|31.17495145766436|31.17495145766436|31.365475590472187|34.47230209260963|27.767216088344206
18|HPCG-192.mtx                  |26.719725|26.75615029292358|29.67142732531436|29.67142732531436|29.586127727752036|32.809751369337995|26.50039776179892
19|Hubbard-12.mtx                |12.998918|25.99949761373668|25.99949761373668|25.99949761373668|28.74944447672806|28.74944447672806|27.220870693253694
20|Hubbard-14.mtx                |14.999709|19.734157095876782|26.838599453182628|21.339215699618507|21.821423711786828|29.67729747226925|18.80220382690015
21|inline_1.mtx                  |73.090063|33.448600498754566|32.61252121823968|32.61252121823968|36.98643324381514|36.0619225009381|30.735170943926246
22|nlpkkt120.mtx                 |27.339033|25.802699411960024|29.765156339310654|29.1413908295862|28.53183108053272|32.913394029045435|24.83018421722339
23|nlpkkt200.mtx                 |27.6001|25.54372630375391|29.803621832800104|29.42594861188889|28.245466585881726|32.95592798819242|25.03909729558733
24|offshore.mtx                  |16.331226|27.31242686610072|27.31242686610072|27.31242686610072|30.201241246169065|30.201241246169065|30.201241246169065
25|parabolic_fem.mtx             |6.988304|21.882932745899687|21.882932745899687|21.882932745899687|24.197473709408307|24.197473709408307|24.197473709408307
26|pwtk.mtx                      |53.389|31.927255075719515|31.927255075719515|31.927255075719515|35.30417628565139|35.30417628565139|35.30417628565139
27|Serena.mtx                    |46.380672|28.526731688642375|31.558385207476764|31.558385207476764|31.543982155710317|34.896291335190654|27.835538256067828
28|ship_003.mtx                  |66.427067|32.422674442241515|32.422674442241515|32.422674442241515|35.8519957774786|35.8519957774786|35.8519957774786
29|Spin-26.mtx                   |14|19.49194495374786|26.440677966101696|21.225024233978182|21.553592977701964|29.237288135593218|18.69319970547054
30|thermal2.mtx                  |6.98697|21.88158503049584|21.88158503049584|21.88158503049584|24.195983447182904|24.195983447182904|24.195983447182904
