THREAD,   PERF (GFlop/s),         MEM (GB),          L3 (GB),          L2 (GB),          FS (MB)
    1,         0.390131,                 ,                 ,                 ,                 
    2,         0.707155,                 ,                 ,                 ,                 
    3,         1.000425,                 ,                 ,                 ,                 
    4,         1.216156,                 ,                 ,                 ,                 
    5,         1.479649,                 ,                 ,                 ,                 
    6,         1.655896,                 ,                 ,                 ,                 
    7,         1.830651,                 ,                 ,                 ,                 
    8,         1.938712,                 ,                 ,                 ,                 
    9,         2.002100,                 ,                 ,                 ,                 
   10,         2.107872,         392.8751,         511.6261,         537.0581,        1818.4542
