THREAD,   PERF (GFlop/s),         MEM (GB),          L3 (GB),          L2 (GB),          FS (MB)
    1,         0.343544,                 ,                 ,                 ,                 
    2,         0.613615,                 ,                 ,                 ,                 
    3,         0.868334,                 ,                 ,                 ,                 
    4,         1.103663,                 ,                 ,                 ,                 
    5,         1.316710,                 ,                 ,                 ,                 
    6,         1.519372,                 ,                 ,                 ,                 
    7,         1.695167,                 ,                 ,                 ,                 
    8,         1.855957,                 ,                 ,                 ,                 
    9,         2.001295,                 ,                 ,                 ,                 
   10,         2.143109,         569.0160,         719.7592,         744.5603,        2404.5369
