Counter | 	             Matrix | 	MKL_SpMV| 	   SpMTV| 	 Symm SpMV| 	 
     0 | 	  Anderson-16.5.mtx | 	9.600885 | 	 9.164809 | 	 8.895866 | 	 
     1 | 	       audikw_1.mtx | 	5.746560 | 	 4.137231 | 	 7.549159 | 	 
     2 | 	        bone010.mtx | 	10.816915 | 	 6.598524 | 	 11.979405 | 	 
     3 | 	 channel-500x100x100-b050.mtx | 	7.350477 | 	 5.880813 | 	 8.163804 | 	 
     4 | 	     crankseg_1.mtx | 	18.293226 | 	 0.982880 | 	 1.087234 | 	 
     5 | 	   delaunay_n24.mtx | 	4.239695 | 	 4.302584 | 	 5.053941 | 	 
     6 | 	 dielFilterV3real.mtx | 	6.306228 | 	 5.704654 | 	 10.165285 | 	 
     7 | 	     Emilia_923.mtx | 	10.779691 | 	 6.679544 | 	 11.516064 | 	 
     8 | 	             F1.mtx | 	7.254800 | 	 3.939295 | 	 6.494727 | 	 
     9 | 	      Fault_639.mtx | 	10.715540 | 	 3.733698 | 	 6.471868 | 	 
    10 | 	      Flan_1565.mtx | 	11.787520 | 	 10.450269 | 	 15.065381 | 	 
    11 | 	 FreeBosonChain-18.mtx | 	6.366916 | 	 4.001542 | 	 5.660339 | 	 
    12 | 	 FreeFermionChain-26.mtx | 	3.980717 | 	 2.762358 | 	 3.686573 | 	 
    13 | 	     G3_circuit.mtx | 	7.753034 | 	 9.212461 | 	 10.243942 | 	 
    14 | 	       Geo_1438.mtx | 	10.349810 | 	 5.838754 | 	 10.498566 | 	 
    15 | 	  Graphene-4096.mtx | 	10.701105 | 	 6.382068 | 	 9.073864 | 	 
    16 | 	     gsm_106857.mtx | 	6.862425 | 	 4.223021 | 	 7.603073 | 	 
    17 | 	      Hook_1498.mtx | 	8.283095 | 	 5.359879 | 	 9.682819 | 	 
    18 | 	       HPCG-192.mtx | 	9.512856 | 	 6.816384 | 	 9.562151 | 	 
    19 | 	     Hubbard-12.mtx | 	7.878247 | 	 3.105136 | 	 5.724418 | 	 
    20 | 	     Hubbard-14.mtx | 	4.054071 | 	 2.762437 | 	 3.911298 | 	 
    21 | 	       inline_1.mtx | 	7.485291 | 	 5.468241 | 	 8.166534 | 	 
    22 | 	      nlpkkt120.mtx | 	8.292708 | 	 7.324899 | 	 8.808741 | 	 
    23 | 	      nlpkkt200.mtx | 	5.662767 | 	 3.268558 | 	 4.742299 | 	 
    24 | 	       offshore.mtx | 	10.540525 | 	 2.812805 | 	 4.795549 | 	 
    25 | 	  parabolic_fem.mtx | 	16.962010 | 	 16.954122 | 	 22.114680 | 	 
    26 | 	           pwtk.mtx | 	15.630845 | 	 7.040960 | 	 9.489892 | 	 
    27 | 	         Serena.mtx | 	8.927912 | 	 3.540699 | 	 6.201050 | 	 
    28 | 	       ship_003.mtx | 	12.119203 | 	 3.529871 | 	 5.041221 | 	 
    29 | 	        Spin-26.mtx | 	4.137096 | 	 2.923380 | 	 4.074622 | 	 
    30 | 	       thermal2.mtx | 	10.270710 | 	 11.378262 | 	 12.841705 | 	 
