Counter | 	             Matrix | 	RSB_SpMV| 	 RSB_SpMTV| 	 RSB_SymmSpMV| 	 
     0 | 	  Anderson-16.5.mtx | 	4.586785 | 	 4.485932 | 	 6.093940 | 	 
     1 | 	       audikw_1.mtx | 	7.740396 | 	 7.851624 | 	 12.991468 | 	 
     2 | 	        bone010.mtx | 	7.851136 | 	 7.992342 | 	 13.848769 | 	 
     3 | 	 channel-500x100x100-b050.mtx | 	6.966144 | 	 6.999332 | 	 10.040477 | 	 
     4 | 	     crankseg_1.mtx | 	7.077873 | 	 7.024822 | 	 9.850237 | 	 
     5 | 	   delaunay_n24.mtx | 	4.767828 | 	 4.873364 | 	 5.997329 | 	 
     6 | 	 dielFilterV3real.mtx | 	7.838916 | 	 7.903240 | 	 13.079874 | 	 
     7 | 	     Emilia_923.mtx | 	7.677588 | 	 7.390506 | 	 11.671101 | 	 
     8 | 	             F1.mtx | 	7.375089 | 	 7.474221 | 	 12.422373 | 	 
     9 | 	      Fault_639.mtx | 	6.940286 | 	 7.081911 | 	 11.146118 | 	 
    10 | 	      Flan_1565.mtx | 	7.853302 | 	 7.940284 | 	 13.525584 | 	 
    11 | 	 FreeBosonChain-18.mtx | 	4.290851 | 	 4.385091 | 	 5.462185 | 	 
    12 | 	 FreeFermionChain-26.mtx | 	4.590565 | 	 4.556594 | 	 5.391109 | 	 
    13 | 	     G3_circuit.mtx | 	4.537366 | 	 4.529781 | 	 3.561029 | 	 
    14 | 	       Geo_1438.mtx | 	6.983511 | 	 7.186970 | 	 11.258158 | 	 
    15 | 	  Graphene-4096.mtx | 	6.062478 | 	 6.107413 | 	 9.888275 | 	 
    16 | 	     gsm_106857.mtx | 	6.903580 | 	 6.919337 | 	 10.831280 | 	 
    17 | 	      Hook_1498.mtx | 	7.165765 | 	 7.285225 | 	 11.661897 | 	 
    18 | 	       HPCG-192.mtx | 	6.207786 | 	 6.216671 | 	 9.621790 | 	 
    19 | 	     Hubbard-12.mtx | 	4.953936 | 	 5.150007 | 	 6.704014 | 	 
    20 | 	     Hubbard-14.mtx | 	4.531834 | 	 4.507784 | 	 6.282215 | 	 
    21 | 	       inline_1.mtx | 	8.189212 | 	 8.197455 | 	 13.614539 | 	 
    22 | 	      nlpkkt120.mtx | 	6.173692 | 	 6.169166 | 	 9.564417 | 	 
    23 | 	      nlpkkt200.mtx | 	7.086985 | 	 7.148883 | 	 11.731542 | 	 
    24 | 	       offshore.mtx | 	3.459300 | 	 3.726808 | 	 4.435017 | 	 
    25 | 	  parabolic_fem.mtx | 	5.298553 | 	 5.204437 | 	 5.064998 | 	 
    26 | 	           pwtk.mtx | 	7.639410 | 	 7.735559 | 	 12.816756 | 	 
    27 | 	         Serena.mtx | 	6.427524 | 	 6.343320 | 	 9.595602 | 	 
    28 | 	       ship_003.mtx | 	7.883292 | 	 7.447699 | 	 8.683241 | 	 
    29 | 	        Spin-26.mtx | 	4.481277 | 	 4.467929 | 	 6.289654 | 	 
    30 | 	       thermal2.mtx | 	5.160976 | 	 5.197108 | 	 7.083798 | 	 
