Id | Matrix | NNZR | SymmSpMV opt perf | SymmSpMV SpMV alpha 
4|crankseg_1|201.011|14.498404923608906|13.188959819261799
25|ship_003|66.427|13.87316269112867|13.786640312607428
23|pwtk|53.389|13.661181258360754|13.661181258360754
21|offshore|16.331|11.686534935523463|11.686534935523463
8|F1|78.062|14.006588743003194|13.35072867948392
18|inline_1|73.09|13.954395395098828|13.628915598246769
22|parabolic_fem|6.988|9.363238857865348|8.644357386417543
15|gsm_106857|36.914|13.207660753706689|12.106747963553595
9|Fault_639|44.794|13.461527790622398|12.58422825707257
7|Emilia_923|44.419|13.451256846602819|12.76048095140918
1|audikw_1|82.285|14.046284891322887|13.261889607305175
2|bone010|72.632|13.949254138001498|13.473102182525988
6|dielFilterV3real|80.979|14.034421802205918|13.21858892474662
27|thermal2|6.987|9.362806564632121|8.727363473102308
24|Serena|46.381|13.50335589811903|11.939454370739712
12|Geo_1438|43.921|13.437376901514488|12.691811196896133
16|Hook_1498|40.665|13.33927479405734|12.416188885626813
10|Flan_1565|75.03|13.975525630963691|13.793438924875128
11|G3_circuit|4.832|8.23990347980696|7.606433895215752
0|Anderson-16.5|7|9.368421052631579|8.217174681832118
19|nlpkkt120|27.339|12.7360503751881|11.053744448821716
3|channel-500x100x100-b050|17.776|11.88050278694119|11.344647906614584
17|HPCG-192|26.72|12.695965417867436|11.592366121539749
26|Spin-26|14|11.313559322033898|8.133073582102352
20|nlpkkt200|27.6|12.752505010020041|10.939845783120854
5|delaunay_n24|6|8.9|6.360490802232629
13|Graphene-4096|12.995|11.124006430293829|11.124006430293829
14|Graphene-short-4096|3.999|7.671672931682589|7.005890542337337
