Id | Matrix | NNZR | SymmSpMV measured alpha copy | SymmSpMV opt alpha copy | SymmSpMV SpMV alpha copy | SymmSpMV measured alpha ld | SymmSpMV opt alpha ld | SymmSpMV SpMV alpha ld
0|Anderson-16.5.mtx             |7|7.748499212558767|8.421052631578947|8.421052631578947|9.104486574756551|9.894736842105262|8.339024176627012
1|audikw_1.mtx                  |82.284898|11.741961159697489|12.625873239154881|12.625873239154881|13.79680436264455|14.835401056006985|12.847144202567165
2|bone010.mtx                   |72.632114|11.97178228869749|12.538656561965533|12.538656561965533|14.066844189219552|14.732921460309502|13.08263333630907
3|channel-500x100x100-b050.mtx  |18.776498|10.24454198231261|10.787745514785634|10.787745514785634|12.037336829217317|12.67560097987312|10.268163284284151
4|crankseg_1.mtx                |201.011476|12.832208112931099|13.032274782006139|13.032274782006139|15.07784453269404|15.312922868857214|13.532792689205236
5|delaunay_n24.mtx              |5.999994|7.690981692206367|7.9999972571414455|7.9999972571414455|9.036903488342482|9.3999967771412|6.9056984514777175
6|dielFilterV3real.mtx          |80.979395|11.663676576430914|12.615213882485177|12.615213882485177|13.704819977306325|14.822876311920083|12.734789862647862
7|Emilia_923.mtx                |44.419464|11.246044953764729|12.091028899071407|12.091028899071407|13.214102820673556|14.206958956408904|12.548358755528357
8|F1.mtx                        |78.062291|12.169045654359836|12.59019471132952|12.59019471132952|14.298628643872807|14.793478785812187|13.383182246197245
9|Fault_639.mtx                 |44.794105|11.235375160606813|12.100252265266258|12.100252265266258|13.201565813713005|14.217796411687853|12.248383381588901
10|Flan_1565.mtx                 |75.029713|11.971024715057927|12.562267487762018|12.562267487762018|14.065954040193065|14.760664298120371|13.42649501624475
11|FreeBosonChain-18.mtx         |12.461538|8.465222498643278|9.900990011623508|9.900990011623508|9.946636435905852|11.633663263657622|9.035962992278083
12|FreeFermionChain-26.mtx       |13.52|7.244496068452896|10.090340514246005|9.709011205717234|8.512282880432153|11.856150104239056|7.75460364587456
13|G3_circuit.mtx                |4.831872|7.406583006724643|7.406582554219609|7.406582554219609|8.702735032901456|8.702734501208042|8.042310432360768
14|Geo_1438.mtx                  |43.921034|11.126959076176266|12.078541895422427|12.078541895422427|13.074176914507113|14.192286727121353|12.38671279352278
15|Graphene-4096.mtx             |12.994629|9.999040167102667|9.999040616811762|9.999040616811762|11.748872196345634|11.74887272475382|11.214144997397929
16|gsm_106857.mtx                |36.914194|11.04894638481779|11.87206126771416|11.87206126771416|12.9825120021609|13.949671989564138|11.77396746661045
17|Hook_1498.mtx                 |40.665227|11.059164805349113|11.990365945255522|11.990365945255522|12.994518646285208|14.08867998567524|12.19733106140743
18|HPCG-192.mtx                  |26.719725|10.238860356373173|11.412087432813216|11.412087432813216|12.03066091873848|13.409202733555528|11.326900623951246
19|Hubbard-12.mtx                |12.998918|8.823041190350098|9.999806774514107|9.999806774514107|10.367073398661365|11.749772960054075|9.352026446406104
20|Hubbard-14.mtx                |14.999709|7.570245815299977|10.322538251224087|10.287748915858074|8.895038832977471|12.128982445188303|8.143225499520598
21|inline_1.mtx                  |73.090063|12.379032966847529|12.543277391630646|12.543277391630646|14.545363736045847|14.738350935166007|13.397429318546047
22|nlpkkt120.mtx                 |27.339033|9.841487979651877|11.44813705358102|11.44813705358102|11.563748376090956|13.451561037957699|10.930515754643974
23|nlpkkt200.mtx                 |27.6001|9.751108262734487|11.462931474153885|11.462931474153885|11.457552208713022|13.468944482130816|10.697868989667285
24|offshore.mtx                  |16.331226|10.50477369098768|10.504779563884892|10.504779563884892|12.343109086910523|12.343115987564747|11.195965396915623
25|parabolic_fem.mtx             |6.988304|8.416512967998166|8.416512594576803|8.416512594576803|9.889402737397845|9.889402298627743|9.138111346596652
26|pwtk.mtx                      |53.389|12.24579212158689|12.279713490661353|12.279713490661353|14.388805742864594|14.428663351527089|13.5419391590757
27|Serena.mtx                    |46.380672|10.706817789946504|12.13784046441414|12.13784046441414|12.580510903187141|14.261962545686615|11.649403311362475
28|ship_003.mtx                  |66.427067|12.255316183172415|12.47025940086212|12.47025940086212|14.399996515227588|14.652554796012991|13.44108762211495
29|Spin-26.mtx                   |14|7.627736943253068|10.169491525423728|10.169491525423728|8.962590908322355|11.94915254237288|8.211315576425672
30|thermal2.mtx                  |6.98697|8.415992667849824|8.415994242498401|8.415994242498401|9.888791384723545|9.888793234935621|9.13190724861821
