THREAD,   PERF (GFlop/s),         MEM (GB),          L3 (GB),          L2 (GB),          FS (MB)
    1,         0.260137,         713.7592,               -1,               -1,               -1
    2,         0.496340,         712.9089,               -1,               -1,               -1
    3,         0.661040,         759.2204,               -1,               -1,               -1
    4,         0.788688,         816.7022,               -1,               -1,               -1
    5,         0.885655,         877.1745,               -1,               -1,               -1
    6,         0.931025,         919.0257,               -1,               -1,               -1
    7,         0.955993,         944.5345,               -1,               -1,               -1
    8,         0.974787,         964.6004,               -1,               -1,               -1
    9,         0.934381,         976.3746,               -1,               -1,               -1
   10,         1.006406,         985.1402,        1181.4262,        1362.5634,         683.3292
