THREAD,   PERF (GFlop/s),         MEM (GB),          L3 (GB),          L2 (GB),          FS (MB)
    1,         0.509597,          34.0363,          33.6038,          40.1953,           0.0191
    2,         1.019550,          33.8195,          33.6222,          40.1896,           0.6865
    3,         1.526557,          33.7588,          33.6354,          40.1947,           0.6284
    4,         2.000493,          33.7079,          33.6212,          40.2065,           0.5980
    5,         2.523070,          33.6949,          33.6303,          40.2087,           0.8098
    6,         2.986259,          33.6881,          33.6321,          40.2060,           0.7202
    7,         3.227196,          33.6934,          33.6462,          40.2067,           0.8219
    8,         3.754910,          33.6945,          33.6391,          40.2065,           0.7376
    9,         4.082667,          33.7145,          33.6542,          40.2119,           0.7571
   10,         4.116634,          33.7103,          33.6599,          40.2208,           0.7590
