THREAD,   PERF (GFlop/s),         MEM (GB),          L3 (GB),          L2 (GB),          FS (MB)
    1,         0.931738,          32.1545,          31.7935,          38.4335,           0.0114
    2,         1.844184,          32.0370,          31.8072,          38.4500,           0.4164
    3,         2.718596,          32.0072,          31.8159,          38.4426,           0.3594
    4,         3.357246,          32.0085,          31.8197,          38.4477,           0.3578
    5,         4.125222,          32.0408,          31.8347,          38.4496,           0.4742
    6,         4.400498,          32.0453,          31.8607,          38.4452,           0.5250
    7,         4.428435,          32.0511,          31.8872,          38.4542,           0.3792
    8,         4.300885,          32.0751,          31.9049,          38.4538,           0.5309
    9,         4.422923,          32.0965,          31.9178,          38.4576,           0.5867
   10,         4.439041,          32.0671,          31.9282,          38.4599,           0.8562
