THREAD,   PERF (GFlop/s),         MEM (GB),          L3 (GB),          L2 (GB),          FS (MB)
    1,         0.897540,          33.8434,          33.4599,          40.1454,           0.0115
    2,         1.786154,          33.7099,          33.4676,          40.1421,           0.4401
    3,         2.640059,          33.7104,          33.4708,          40.1412,           0.4163
    4,         3.291283,          33.6752,          33.4678,          40.1494,           0.3523
    5,         3.997339,          33.6851,          33.4856,          40.1538,           0.2013
    6,         4.204214,          33.6836,          33.5223,          40.1521,           0.3957
    7,         4.224331,          33.6973,          33.5574,          40.1543,           0.5045
    8,         4.094738,          33.7008,          33.5769,          40.1526,           0.2749
    9,         4.208635,          33.7099,          33.5901,          40.1562,           0.5240
   10,         4.171458,          33.7042,          33.6003,          40.1661,           0.6532
