  THREAD 	    eps_1 	    eps_2 	      Eff 	 maxDepth 	       Time
       1 	       80 	       80 	 1.000000 	        1 	 762082.547434
       2 	       80 	       80 	 0.999838 	        1 	 617429.085562
       3 	       80 	       80 	 0.999321 	        1 	 610939.730309
       4 	       80 	       80 	 0.999434 	        1 	 606987.585850
       5 	       80 	       80 	 0.998547 	        1 	 604707.806197
       6 	       80 	       80 	 0.999025 	        1 	 603532.366210
       7 	       80 	       80 	 0.997979 	        1 	 601494.907948
       8 	       80 	       80 	 0.997955 	        1 	 599798.647329
       9 	       80 	       80 	 0.997604 	        1 	 599172.770213
      10 	       80 	       80 	 0.997867 	        1 	 597839.387609
      11 	       80 	       80 	 0.996967 	        1 	 598841.495212
      12 	       80 	       80 	 0.997188 	        1 	 597950.126194
      13 	       80 	       80 	 0.997614 	        1 	 597047.919393
      14 	       80 	       80 	 0.997180 	        1 	 597623.780482
      15 	       80 	       80 	 0.996702 	        1 	 597222.926734
      16 	       80 	       80 	 0.995756 	        1 	 598260.086792
      17 	       80 	       80 	 0.995465 	        1 	 597208.280329
      18 	       80 	       80 	 0.994624 	        1 	 596599.649070
      19 	       80 	       80 	 0.995206 	        1 	 596163.659711
      20 	       80 	       80 	 0.994689 	        1 	 596470.975802
      25 	       80 	       80 	 0.993197 	        1 	 596470.975802
      30 	       80 	       80 	 0.990897 	        1 	 596470.975802
      35 	       80 	       80 	 0.988039 	        1 	 596470.975802
      40 	       80 	       80 	 0.987869 	        1 	 596470.975802
      45 	       80 	       80 	 0.985885 	        1 	 596470.975802
      50 	       80 	       80 	 0.985084 	        1 	 596470.975802
      60 	       80 	       80 	 0.980480 	        1 	 596470.975802
      70 	       80 	       80 	 0.978583 	        1 	 596470.975802
      80 	       80 	       80 	 0.975129 	        1 	 596470.975802
      90 	       80 	       80 	 0.970904 	        1 	 596470.975802
     100 	       80 	       80 	 0.969955 	        1 	 596470.975802
     120 	       80 	       80 	 0.960577 	        1 	 596470.975802
     140 	       80 	       80 	 0.956815 	        1 	 596470.975802
     160 	       80 	       80 	 0.949169 	        1 	 596470.975802
     180 	       80 	       80 	 0.946906 	        1 	 596470.975802
     200 	       80 	       80 	 0.933613 	        1 	 596470.975802
