THREAD,   PERF (GFlop/s),         MEM (GB),          L3 (GB),          L2 (GB),          FS (MB)
    1,         1.323908,           6.4655,           9.4701,          10.9023,           0.0042
    2,         2.490787,           6.8805,           9.4687,          10.8990,           0.2353
    3,         3.712006,           7.3267,           9.4641,          10.8932,           0.1684
    4,         4.957133,           7.5431,           9.4625,          10.8902,           0.1434
    5,         5.985111,           7.6821,           9.4575,          10.8861,           0.1601
    6,         6.722544,           7.8150,           9.4667,          10.8799,           0.1527
    7,         7.094050,           7.9089,           9.4568,          10.8707,           0.1406
    8,         7.074584,           8.0042,           9.4582,          10.8579,           0.1553
    9,         7.284122,           8.0841,           9.4593,          10.8486,           0.1702
   10,         7.190896,           8.1354,           9.4596,          10.8380,           0.2114
