Counter | 	             Matrix | 	PLAIN_SpMV| 	   SpMTV| 	 Symm SpMV| 	 
     0 | 	  Anderson-16.5.mtx | 	9.310789 | 	 9.167647 | 	 8.766058 | 	 
     1 | 	       audikw_1.mtx | 	4.655380 | 	 4.145714 | 	 7.557220 | 	 
     2 | 	        bone010.mtx | 	8.888363 | 	 6.612629 | 	 11.955643 | 	 
     3 | 	 channel-500x100x100-b050.mtx | 	6.299047 | 	 5.856317 | 	 8.154977 | 	 
     4 | 	     crankseg_1.mtx | 	17.387042 | 	 0.983796 | 	 1.089260 | 	 
     5 | 	   delaunay_n24.mtx | 	3.964967 | 	 4.311860 | 	 6.379342 | 	 
     6 | 	 dielFilterV3real.mtx | 	5.130689 | 	 5.702909 | 	 10.138863 | 	 
     7 | 	     Emilia_923.mtx | 	8.943183 | 	 6.681442 | 	 11.497219 | 	 
     8 | 	             F1.mtx | 	5.935811 | 	 3.935032 | 	 6.477445 | 	 
     9 | 	      Fault_639.mtx | 	8.800648 | 	 3.730523 | 	 6.463805 | 	 
    10 | 	      Flan_1565.mtx | 	9.913315 | 	 10.434168 | 	 15.055210 | 	 
    11 | 	     G3_circuit.mtx | 	7.289619 | 	 9.142743 | 	 10.123796 | 	 
    12 | 	       Geo_1438.mtx | 	8.545835 | 	 5.830596 | 	 10.488210 | 	 
    13 | 	  Graphene-4096.mtx | 	10.284199 | 	 6.404389 | 	 9.115191 | 	 
    14 | 	 Graphene-short-4096.mtx | 	10.249275 | 	 6.432464 | 	 8.504333 | 	 
    15 | 	     gsm_106857.mtx | 	5.594822 | 	 4.215000 | 	 7.586484 | 	 
    16 | 	      Hook_1498.mtx | 	6.869511 | 	 5.366475 | 	 9.710800 | 	 
    17 | 	       HPCG-192.mtx | 	8.607739 | 	 6.834441 | 	 9.630983 | 	 
    18 | 	       inline_1.mtx | 	6.145640 | 	 5.454314 | 	 8.152250 | 	 
    19 | 	      nlpkkt120.mtx | 	7.284757 | 	 7.128598 | 	 8.792019 | 	 
    20 | 	      nlpkkt200.mtx | 	5.037314 | 	 3.281099 | 	 4.772032 | 	 
    21 | 	       offshore.mtx | 	8.841909 | 	 2.814395 | 	 4.775228 | 	 
    22 | 	  parabolic_fem.mtx | 	16.454999 | 	 17.062863 | 	 22.442706 | 	 
    23 | 	           pwtk.mtx | 	13.111797 | 	 7.035219 | 	 9.485422 | 	 
    24 | 	         Serena.mtx | 	7.366032 | 	 3.541113 | 	 6.198454 | 	 
    25 | 	       ship_003.mtx | 	9.759224 | 	 3.530926 | 	 5.035905 | 	 
    26 | 	        Spin-26.mtx | 	3.799750 | 	 2.924160 | 	 4.061799 | 	 
    27 | 	       thermal2.mtx | 	9.864590 | 	 11.401289 | 	 12.467748 | 	 
