THREAD,   PERF (GFlop/s),         MEM (GB),          L3 (GB),          L2 (GB),          FS (MB)
    1,         0.288990,                 ,                 ,                 ,                 
    2,         0.499986,                 ,                 ,                 ,                 
    3,         0.646339,                 ,                 ,                 ,                 
    4,         0.791093,                 ,                 ,                 ,                 
    5,         0.920852,                 ,                 ,                 ,                 
    6,         1.011860,                 ,                 ,                 ,                 
    7,         1.071325,                 ,                 ,                 ,                 
    8,         1.195762,                 ,                 ,                 ,                 
    9,         1.220996,                 ,                 ,                 ,                 
   10,         1.242280,         765.0042,         937.1346,        1015.5385,        2663.5503
