THREAD,   PERF (GFlop/s),         MEM (GB),          L3 (GB),          L2 (GB),          FS (MB)
    1,         0.256559,                 ,                 ,                 ,                 
    2,         0.447744,                 ,                 ,                 ,                 
    3,         0.555181,                 ,                 ,                 ,                 
    4,         0.666986,                 ,                 ,                 ,                 
    5,         0.738892,                 ,                 ,                 ,                 
    6,         0.771550,                 ,                 ,                 ,                 
    7,         0.804575,                 ,                 ,                 ,                 
    8,         0.852090,                 ,                 ,                 ,                 
    9,         0.862479,                 ,                 ,                 ,                 
    10,        0.867282,        1146.1815,        1340.6613,        1424.0692,        4091.7087
