#Iter, abs. error
10, 0.0032561576882729
20, 0.0031358440564553
30, 0.0030607467042003
40, 0.0030051774408700
50, 0.0029609524107886
60, 0.0029242619422835
70, 0.0028929634815989
80, 0.0028657117529437
90, 0.0028416014475095
100, 0.0028199940137845
110, 0.0028004233227585
120, 0.0027825398241719
130, 0.0027660754490255
140, 0.0027508205816816
150, 0.0027366084667105
160, 0.0027233043892630
170, 0.0027107980135004
180, 0.0026989978579397
190, 0.0026878272434632
200, 0.0026772212728003
210, 0.0026671245436567
220, 0.0026574893916143
230, 0.0026482745214080
240, 0.0026394439272161
250, 0.0026309660311924
260, 0.0026228129891080
270, 0.0026149601256234
280, 0.0026073854713096
290, 0.0026000693803776
300, 0.0025929942130218
310, 0.0025861440699077
320, 0.0025795045690370
330, 0.0025730626572637
340, 0.0025668064502983
350, 0.0025607250962504
360, 0.0025548086587073
370, 0.0025490480161007
380, 0.0025434347747102
390, 0.0025379611931333
400, 0.0025326201164351
410, 0.0025274049185088
420, 0.0025223094514253
430, 0.0025173280007619
440, 0.0025124552460645
450, 0.0025076862257393
460, 0.0025030163057775
470, 0.0024984411518156
480, 0.0024939567041058
