#Iter, abs. error
10, 0.0007855545347217
20, 0.0007852906583781
30, 0.0007851083342516
40, 0.0007849698067869
50, 0.0007848597315052
60, 0.0007847696375733
70, 0.0007846941012786
80, 0.0007846294003573
90, 0.0007845728936043
100, 0.0007845226710059
110, 0.0007844773329101
120, 0.0007844358425742
130, 0.0007843974247241
140, 0.0007843614944571
150, 0.0007843276067301
160, 0.0007842954200747
170, 0.0007842646702862
180, 0.0007842351511845
190, 0.0007842067004446
200, 0.0007841791890899
210, 0.0007841525136556
220, 0.0007841265903107
230, 0.0007841013504262
240, 0.0007840767372180
250, 0.0007840527031901
260, 0.0007840292081807
270, 0.0007840062178591
280, 0.0007839837025672
290, 0.0007839616364189
300, 0.0007839399965998
310, 0.0007839187628172
320, 0.0007838979168672
330, 0.0007838774422917
340, 0.0007838573241050
350, 0.0007838375485741
360, 0.0007838181030417
370, 0.0007837989757822
380, 0.0007837801558833
390, 0.0007837616331489
400, 0.0007837433980180
410, 0.0007837254414968
420, 0.0007837077551013
430, 0.0007836903308084
440, 0.0007836731610144
450, 0.0007836562384983
460, 0.0007836395563909
470, 0.0007836231081464
480, 0.0007836068875191
490, 0.0007835908885406
500, 0.0007835751055018
510, 0.0007835595329343
