#Iter, abs. error
10, 0.0017054275512953
20, 0.0017054120006392
30, 0.0017054015909889
40, 0.0017053934989116
50, 0.0017053867547531
60, 0.0017053809020181
70, 0.0017053756876049
80, 0.0017053709555708
90, 0.0017053666024738
100, 0.0017053625558884
110, 0.0017053587629801
120, 0.0017053551839411
130, 0.0017053517879830
140, 0.0017053485507699
150, 0.0017053454527075
160, 0.0017053424777649
170, 0.0017053396126410
180, 0.0017053368461616
190, 0.0017053341688346
200, 0.0017053315725167
210, 0.0017053290501594
220, 0.0017053265956140
230, 0.0017053242034789
240, 0.0017053218689794
250, 0.0017053195878719
260, 0.0017053173563665
270, 0.0017053151710638
280, 0.0017053130289033
290, 0.0017053109271197
300, 0.0017053088632075
310, 0.0017053068348894
320, 0.0017053048400908
330, 0.0017053028769171
340, 0.0017053009436340
350, 0.0017052990386509
360, 0.0017052971605059
370, 0.0017052953078528
380, 0.0017052934794495
390, 0.0017052916741482
400, 0.0017052898908861
410, 0.0017052881286776
420, 0.0017052863866068
430, 0.0017052846638218
440, 0.0017052829595283
450, 0.0017052812729849
460, 0.0017052796034986
470, 0.0017052779504202
480, 0.0017052763131414
490, 0.0017052746910906
500, 0.0017052730837306
