#Iter, abs. error
10, 0.0007855581523413
20, 0.0007852889054796
30, 0.0007851054515126
40, 0.0007849668762897
50, 0.0007848570063926
60, 0.0007847670479984
70, 0.0007846914917237
80, 0.0007846266282478
90, 0.0007845698586530
100, 0.0007845193161098
110, 0.0007844736358642
120, 0.0007844318064179
130, 0.0007843930693853
140, 0.0007843568502877
150, 0.0007843227097916
160, 0.0007842903088340
170, 0.0007842593833773
180, 0.0007842297259518
190, 0.0007842011720432
200, 0.0007841735899784
210, 0.0007841468733593
220, 0.0007841209353675
230, 0.0007840957044528
240, 0.0007840711210509
250, 0.0007840471350714
260, 0.0007840237039656
270, 0.0007840007912322
280, 0.0007839783652550
290, 0.0007839563983955
300, 0.0007839348662792
310, 0.0007839137472318
320, 0.0007838930218307
330, 0.0007838726725473
340, 0.0007838526834578
350, 0.0007838330400104
360, 0.0007838137288350
370, 0.0007837947375866
380, 0.0007837760548166
390, 0.0007837576698655
400, 0.0007837395727733
410, 0.0007837217542031
420, 0.0007837042053773
430, 0.0007836869180221
440, 0.0007836698843208
450, 0.0007836530968721
460, 0.0007836365486548
470, 0.0007836202329963
480, 0.0007836041435451
490, 0.0007835882742461
500, 0.0007835726193195
510, 0.0007835571732402
