#Iter, abs. error
10, 0.0008122800042525
20, 0.0008117235482517
30, 0.0008113576558428
40, 0.0008110783281037
50, 0.0008108492936843
60, 0.0008106534911034
70, 0.0008104815027693
80, 0.0008103275466271
90, 0.0008101877900192
100, 0.0008100595441683
110, 0.0008099408402209
120, 0.0008098301879952
130, 0.0008097264296690
140, 0.0008096286463156
150, 0.0008095360956148
160, 0.0008094481688711
170, 0.0008093643604867
180, 0.0008092842457491
190, 0.0008092074643305
200, 0.0008091337078101
210, 0.0008090627100894
220, 0.0008089942399284
230, 0.0008089280950607
240, 0.0008088640975022
250, 0.0008088020897745
260, 0.0008087419318352
270, 0.0008086834985641
280, 0.0008086266776867
290, 0.0008085713680483
300, 0.0008085174781692
310, 0.0008084649250285
320, 0.0008084136330332
330, 0.0008083635331415
340, 0.0008083145621122
350, 0.0008082666618587
360, 0.0008082197788925
370, 0.0008081738638389
380, 0.0008081288710168
390, 0.0008080847580707
400, 0.0008080414856477
410, 0.0008079990171134
420, 0.0008079573183017
430, 0.0008079163572918
440, 0.0008078761042115
450, 0.0008078365310604
460, 0.0008077976115538
470, 0.0008077593209811
480, 0.0008077216360796
490, 0.0008076845349209
500, 0.0008076479968081
510, 0.0008076120021827
520, 0.0008075765325411
