#Iter, abs. error
10, 0.0014083122255245
20, 0.0014080579151587
30, 0.0014078778854453
40, 0.0014077363832485
50, 0.0014076183341049
60, 0.0014075161170410
70, 0.0014074254360610
80, 0.0014073436318006
90, 0.0014072689240645
100, 0.0014072000471652
110, 0.0014071360598261
120, 0.0014070762381984
130, 0.0014070200114221
140, 0.0014069669204562
150, 0.0014069165904288
160, 0.0014068687112862
170, 0.0014068230237925
180, 0.0014067793091315
190, 0.0014067373810179
200, 0.0014066970796135
210, 0.0014066582667690
220, 0.0014066208222629
230, 0.0014065846407999
240, 0.0014065496295963
250, 0.0014065157064245
260, 0.0014064827980186
270, 0.0014064508387675
280, 0.0014064197696361
290, 0.0014063895372714
300, 0.0014063600932564
310, 0.0014063313934845
320, 0.0014063033976323
330, 0.0014062760687128
340, 0.0014062493726943
350, 0.0014062232781749
360, 0.0014061977561017
370, 0.0014061727795288
380, 0.0014061483234061
390, 0.0014061243643964
400, 0.0014061008807143
410, 0.0014060778519848
420, 0.0014060552591184
430, 0.0014060330842006
440, 0.0014060113103937
450, 0.0014059899218488
460, 0.0014059689036275
470, 0.0014059482416312
480, 0.0014059279225380
490, 0.0014059079337453
500, 0.0014058882633178
