#Iter, abs. error
10, 0.0017054271059293
20, 0.0017054116888126
30, 0.0017054013472191
40, 0.0017053932612071
50, 0.0017053865016210
60, 0.0017053806287559
70, 0.0017053753952212
80, 0.0017053706469955
90, 0.0017053662812571
100, 0.0017053622256807
110, 0.0017053584272733
120, 0.0017053548459210
130, 0.0017053514504468
140, 0.0017053482160882
150, 0.0017053451228193
160, 0.0017053421541962
170, 0.0017053392965395
180, 0.0017053365383409
190, 0.0017053338698222
200, 0.0017053312826028
210, 0.0017053287694438
220, 0.0017053263240484
230, 0.0017053239409051
240, 0.0017053216151614
250, 0.0017053193425229
260, 0.0017053171191706
270, 0.0017053149416934
280, 0.0017053128070319
290, 0.0017053107124318
300, 0.0017053086554045
310, 0.0017053066336944
320, 0.0017053046452508
330, 0.0017053026882036
340, 0.0017053007608429
350, 0.0017052988616016
360, 0.0017052969890394
370, 0.0017052951418303
380, 0.0017052933187501
390, 0.0017052915186668
400, 0.0017052897405313
410, 0.0017052879833699
420, 0.0017052862462767
430, 0.0017052845284079
440, 0.0017052828289760
450, 0.0017052811472449
460, 0.0017052794825257
470, 0.0017052778341725
480, 0.0017052762015788
490, 0.0017052745841748
500, 0.0017052729814239
