Counter | 	             Matrix | 	MKL_SpMV| 	   SpMTV| 	 SymmSpMV| 	 
     0 | 	  Anderson-16.5.mtx | 	3.426702 | 	 2.737461 | 	 3.146496 | 	 
     1 | 	       audikw_1.mtx | 	2.340743 | 	 3.263638 | 	 4.972907 | 	 
     2 | 	        bone010.mtx | 	3.375866 | 	 4.036120 | 	 5.836931 | 	 
     3 | 	 channel-500x100x100-b050.mtx | 	2.864866 | 	 1.626633 | 	 2.644670 | 	 
     4 | 	     crankseg_1.mtx | 	4.086048 | 	 1.136659 | 	 1.511182 | 	 
     5 | 	   delaunay_n24.mtx | 	2.147421 | 	 1.451491 | 	 2.011255 | 	 
     6 | 	 dielFilterV3real.mtx | 	2.232108 | 	 3.519372 | 	 5.317132 | 	 
     7 | 	     Emilia_923.mtx | 	3.980764 | 	 3.712801 | 	 5.340477 | 	 
     8 | 	             F1.mtx | 	2.647218 | 	 3.148367 | 	 4.843618 | 	 
     9 | 	      Fault_639.mtx | 	4.197070 | 	 3.489247 | 	 4.988814 | 	 
    10 | 	      Flan_1565.mtx | 	3.768488 | 	 3.857266 | 	 4.762522 | 	 
    11 | 	 FreeBosonChain-18.mtx | 	2.256389 | 	 1.503086 | 	 1.947372 | 	 
    12 | 	 FreeFermionChain-26.mtx | 	1.639472 | 	 0.909123 | 	 1.328207 | 	 
    13 | 	     G3_circuit.mtx | 	3.150112 | 	 3.226233 | 	 3.629799 | 	 
    14 | 	       Geo_1438.mtx | 	3.240689 | 	 3.563705 | 	 4.466707 | 	 
    15 | 	  Graphene-4096.mtx | 	5.091498 | 	 2.487340 | 	 3.316691 | 	 
    16 | 	     gsm_106857.mtx | 	2.761330 | 	 3.476730 | 	 5.180315 | 	 
    17 | 	      Hook_1498.mtx | 	2.683515 | 	 3.487185 | 	 4.546154 | 	 
    18 | 	       HPCG-192.mtx | 	4.347715 | 	 2.301047 | 	 2.951414 | 	 
    19 | 	     Hubbard-12.mtx | 	3.484417 | 	 3.213323 | 	 4.676261 | 	 
    20 | 	     Hubbard-14.mtx | 	1.665918 | 	 0.965453 | 	 1.416946 | 	 
    21 | 	       inline_1.mtx | 	2.768369 | 	 3.261055 | 	 4.932655 | 	 
    22 | 	      nlpkkt120.mtx | 	2.828742 | 	 1.836350 | 	 2.864856 | 	 
    23 | 	      nlpkkt200.mtx | 	2.328673 | 	 1.361797 | 	 1.863708 | 	 
    24 | 	       offshore.mtx | 	3.895578 | 	 2.465471 | 	 4.385610 | 	 
    25 | 	  parabolic_fem.mtx | 	5.349669 | 	 5.026715 | 	 6.969090 | 	 
    26 | 	           pwtk.mtx | 	5.266018 | 	 4.655240 | 	 6.165380 | 	 
    27 | 	         Serena.mtx | 	2.983746 | 	 3.324153 | 	 4.441658 | 	 
    28 | 	       ship_003.mtx | 	3.339180 | 	 3.406944 | 	 4.980049 | 	 
    29 | 	        Spin-26.mtx | 	1.706850 | 	 1.010185 | 	 1.528851 | 	 
    30 | 	       thermal2.mtx | 	4.146814 | 	 4.452404 | 	 5.432999 | 	 
