#Iter, abs. error
10, 0.0021006392780402
20, 0.0020538375647662
30, 0.0020302679162900
40, 0.0020161504907069
50, 0.0020066605563405
60, 0.0019997127957454
70, 0.0019942946819407
80, 0.0019898676847621
90, 0.0019861226370836
100, 0.0019828702600079
110, 0.0019799883067370
120, 0.0019773942535858
130, 0.0019750303028532
140, 0.0019728546913239
150, 0.0019708364145037
160, 0.0019689518969060
170, 0.0019671828210914
180, 0.0019655146731484
190, 0.0019639357453828
200, 0.0019624364386150
210, 0.0019610087652429
220, 0.0019596459894409
230, 0.0019583423626152
240, 0.0019570929260379
250, 0.0019558933615224
260, 0.0019547398769113
270, 0.0019536291171085
280, 0.0019525580940882
290, 0.0019515241311674
300, 0.0019505248181254
310, 0.0019495579746655
320, 0.0019486216203630
330, 0.0019477139497102
340, 0.0019468333112085
350, 0.0019459781897045
360, 0.0019451471913516
370, 0.0019443390307165
380, 0.0019435525196507
390, 0.0019427865576291
400, 0.0019420401233139
410, 0.0019413122671529
420, 0.0019406021048539
430, 0.0019399088116072
440, 0.0019392316169502
450, 0.0019385698001868
460, 0.0019379226862876
470, 0.0019372896422085
480, 0.0019366700735774
490, 0.0019360634217020
500, 0.0019354691608629
