#Iter, abs. error
10, 0.0017054275310204
20, 0.0017054122821695
30, 0.0017054020115599
40, 0.0017053939798451
50, 0.0017053872650030
60, 0.0017053814294180
70, 0.0017053762276311
80, 0.0017053715070049
90, 0.0017053671655523
100, 0.0017053631314251
110, 0.0017053593519237
120, 0.0017053557871535
130, 0.0017053524061370
140, 0.0017053491843141
150, 0.0017053461018689
160, 0.0017053431425720
170, 0.0017053402929566
180, 0.0017053375417192
190, 0.0017053348792736
200, 0.0017053322974146
210, 0.0017053297890593
220, 0.0017053273480469
230, 0.0017053249689818
240, 0.0017053226471078
250, 0.0017053203782090
260, 0.0017053181585284
270, 0.0017053159847022
280, 0.0017053138537060
290, 0.0017053117628097
300, 0.0017053097095403
310, 0.0017053076916503
320, 0.0017053057070914
330, 0.0017053037539916
340, 0.0017053018306360
350, 0.0017052999354497
360, 0.0017052980669834
370, 0.0017052962239010
380, 0.0017052944049678
390, 0.0017052926090414
400, 0.0017052908350625
410, 0.0017052890820477
420, 0.0017052873490819
430, 0.0017052856353132
440, 0.0017052839399466
450, 0.0017052822622395
460, 0.0017052806014971
470, 0.0017052789570685
480, 0.0017052773283434
490, 0.0017052757147483
500, 0.0017052741157438
510, 0.0017052725308223
