#Iter, abs. error
10, 0.0007966744411399
20, 0.0007957232546636
30, 0.0007950055332499
40, 0.0007943964464478
50, 0.0007938560404912
60, 0.0007933659472792
70, 0.0007929157326131
80, 0.0007924985968309
90, 0.0007921096922119
100, 0.0007917453474182
110, 0.0007914026632321
120, 0.0007910792808378
130, 0.0007907732382115
140, 0.0007904828754859
150, 0.0007902067694879
160, 0.0007899436866518
170, 0.0007896925480863
180, 0.0007894524030099
190, 0.0007892224081144
200, 0.0007890018112334
210, 0.0007887899382090
220, 0.0007885861821867
230, 0.0007883899947868
240, 0.0007882008787512
250, 0.0007880183817614
260, 0.0007878420912009
270, 0.0007876716296842
280, 0.0007875066512155
290, 0.0007873468378689
300, 0.0007871918969039
310, 0.0007870415582468
320, 0.0007868955722818
330, 0.0007867537079061
340, 0.0007866157508108
350, 0.0007864815019556
360, 0.0007863507762120
370, 0.0007862234011520
380, 0.0007860992159638
390, 0.0007859780704793
400, 0.0007858598242981
410, 0.0007857443459986
420, 0.0007856315124250
430, 0.0007855212080413
440, 0.0007854133243455
450, 0.0007853077593376
460, 0.0007852044170346
