#Iter, abs. error
10, 0.0008182876096409
20, 0.0008085953623291
30, 0.0008029848250347
40, 0.0007989496306303
50, 0.0007957662749202
60, 0.0007931222436229
70, 0.0007908530636546
80, 0.0007888611040757
90, 0.0007870834413253
100, 0.0007854769891069
110, 0.0007840108387146
120, 0.0007826619885765
130, 0.0007814128091395
140, 0.0007802494581856
150, 0.0007791608470501
160, 0.0007781379416169
170, 0.0007771732749892
180, 0.0007762605986277
190, 0.0007753946268160
200, 0.0007745708457066
210, 0.0007737853681056
220, 0.0007730348213178
230, 0.0007723162593229
240, 0.0007716270931491
250, 0.0007709650350537
260, 0.0007703280533192
270, 0.0007697143353065
280, 0.0007691222570017
290, 0.0007685503577201
300, 0.0007679973189427
310, 0.0007674619464925
320, 0.0007669431554321
330, 0.0007664399571921
340, 0.0007659514485445
350, 0.0007654768021085
360, 0.0007650152581390
370, 0.0007645661173931
380, 0.0007641287349090
390, 0.0007637025145603
400, 0.0007632869042720
410, 0.0007628813918041
420, 0.0007624855010242
430, 0.0007620987886033
440, 0.0007617208410772
450, 0.0007613512722282
460, 0.0007609897207449
470, 0.0007606358481267
480, 0.0007602893368029
490, 0.0007599498884401
500, 0.0007596172224171
