#Iter, abs. error
10, 0.0009018457107339
20, 0.0009017840487667
30, 0.0009017421200805
40, 0.0009017093901042
50, 0.0009016821468791
60, 0.0009016586089580
70, 0.0009016377690533
80, 0.0009016189957586
90, 0.0009016018641744
100, 0.0009015860731411
110, 0.0009015714005759
120, 0.0009015576775055
130, 0.0009015447720648
140, 0.0009015325791658
150, 0.0009015210135671
160, 0.0009015100050740
170, 0.0009014994951225
180, 0.0009014894342924
190, 0.0009014797804578
200, 0.0009014704973890
210, 0.0009014615536782
220, 0.0009014529219015
230, 0.0009014445779587
240, 0.0009014365005457
250, 0.0009014286707290
260, 0.0009014210715993
270, 0.0009014136879873
280, 0.0009014065062279
290, 0.0009013995139639
300, 0.0009013926999814
310, 0.0009013860540697
320, 0.0009013795669034
330, 0.0009013732299409
340, 0.0009013670353374
350, 0.0009013609758697
360, 0.0009013550448713
370, 0.0009013492361755
380, 0.0009013435440659
390, 0.0009013379632326
400, 0.0009013324887343
410, 0.0009013271159641
420, 0.0009013218406197
430, 0.0009013166586766
440, 0.0009013115663642
450, 0.0009013065601446
460, 0.0009013016366938
470, 0.0009012967928839
480, 0.0009012920257684
490, 0.0009012873325678
500, 0.0009012827106570
510, 0.0009012781575542
