Matrix                       ,Thread ,RCM ,RACE_efficiency ,Iter ,ResNorm       ,ErrNorm       ,ActualIter ,Preprocessing-time ,Perf_COLOR_KACZ_Q0 ,Perf_COLOR_KACZ_Q25 ,Perf_COLOR_KACZ_Q50 ,Perf_COLOR_KACZ_Q75 ,Perf_COLOR_KACZ_Q100 
ship_003.mtx                 ,38     ,    ,=40             ,510  , 6.643882e+10 , 2.030517e-03 , 510       ,0.586180           ,51.015771          ,50.996180           ,50.942899           ,50.702812           ,50.545570
shipsec1.mtx                 ,1      ,    ,=80+80          ,500  , 2.718033e+06 , 1.935468e-03 , 500       ,0.443718           ,2.329581           ,2.327776            ,2.327647            ,2.326004            ,2.315779
shipsec1.mtx                 ,2      ,    ,=80+80          ,500  , 2.712868e+06 , 1.935469e-03 , 500       ,0.420845           ,4.647338           ,4.641202            ,4.638163            ,4.628175            ,4.597440
shipsec1.mtx                 ,4      ,    ,=80+80          ,500  , 2.701701e+06 , 1.935472e-03 , 500       ,0.412834           ,8.925232           ,8.922518            ,8.914208            ,8.908144            ,8.877859
shipsec1.mtx                 ,8      ,    ,=80+80          ,500  , 2.698396e+06 , 1.935453e-03 , 500       ,0.418244           ,15.221677          ,15.209230           ,15.206961           ,15.166902           ,15.095387
shipsec1.mtx                 ,16     ,    ,=80+80          ,500  , 2.584397e+06 , 1.935327e-03 , 500       ,0.449703           ,26.078601          ,26.065389           ,26.054540           ,26.021450           ,26.008708
shipsec1.mtx                 ,32     ,    ,=80+80          ,500  , 2.614236e+06 , 1.935370e-03 , 500       ,0.530439           ,46.782994          ,46.733893           ,46.698398           ,46.500410           ,46.468135
shipsec1.mtx                 ,38     ,    ,=80+80          ,500  , 2.600512e+06 , 1.935333e-03 , 500       ,0.548851           ,54.887871          ,54.850206           ,54.775329           ,54.684910           ,53.221826
bmw7st_1.mtx                 ,1      ,    ,=80+80          ,520  , 8.058095e+07 , 2.047116e-03 , 510       ,0.435240           ,2.229882           ,2.228983            ,2.224872            ,2.221769            ,2.208927
bmw7st_1.mtx                 ,2      ,    ,=80+80          ,520  , 2.758850e+07 , 2.047116e-03 , 510       ,0.431636           ,4.395352           ,4.393171            ,4.383246            ,4.379031            ,4.358620
bmw7st_1.mtx                 ,4      ,    ,=80+80          ,520  , 2.758856e+07 , 2.047115e-03 , 510       ,0.430968           ,8.472734           ,8.469905            ,8.453566            ,8.443045            ,8.422085
bmw7st_1.mtx                 ,8      ,    ,=80+80          ,520  , 2.758848e+07 , 2.047114e-03 , 510       ,0.434284           ,15.895876          ,15.891395           ,15.881971           ,15.871948           ,15.793740
bmw7st_1.mtx                 ,16     ,    ,=80+80          ,520  , 8.058800e+07 , 2.047268e-03 , 510       ,0.445066           ,22.792139          ,22.776557           ,22.763604           ,22.746635           ,22.712142
bmw7st_1.mtx                 ,32     ,    ,=80+80          ,520  , 7.715127e+07 , 2.047764e-03 , 520       ,0.551861           ,45.708939          ,45.686925           ,45.560828           ,45.459780           ,45.405109
bmw7st_1.mtx                 ,38     ,    ,=80+80          ,520  , 2.722070e+07 , 2.047840e-03 , 520       ,0.558971           ,44.876423          ,44.860420           ,44.849627           ,44.761325           ,44.375924
gearbox.mtx                  ,1      ,    ,=40             ,480  , 1.338316e-07 , 2.770909e-05 , 450       ,0.164705           ,2.281804           ,2.276159            ,2.274593            ,2.271778            ,2.269997
gearbox.mtx                  ,2      ,    ,=40             ,480  , 1.343793e-07 , 2.767724e-05 , 460       ,0.137983           ,4.500555           ,4.500160            ,4.498727            ,4.498118            ,4.494096
gearbox.mtx                  ,4      ,    ,=40             ,480  , 1.339251e-07 , 2.760830e-05 , 460       ,0.132500           ,8.745647           ,8.744597            ,8.739672            ,8.737965            ,8.735751
gearbox.mtx                  ,8      ,    ,=40             ,480  , 1.369153e-07 , 2.758083e-05 , 470       ,0.130149           ,15.756902          ,15.740317           ,15.735346           ,15.731146           ,15.727100
gearbox.mtx                  ,16     ,    ,=40             ,480  , 1.408085e-07 , 2.771017e-05 , 480       ,0.159068           ,20.683384          ,20.660121           ,20.645902           ,20.614343           ,20.607005
gearbox.mtx                  ,32     ,    ,=40             ,480  , 1.417862e-07 , 2.783646e-05 , 480       ,0.264581           ,44.469908          ,44.428516           ,44.399800           ,44.305739           ,44.186870
gearbox.mtx                  ,38     ,    ,=40             ,480  , 1.400315e-07 , 2.778276e-05 , 480       ,0.245798           ,53.177771          ,53.149710           ,53.082693           ,53.015498           ,52.820387
pwtk.mtx                     ,1      ,    ,=80+80          ,510  , 3.766833e+01 , 1.474174e-03 , 510       ,0.612786           ,2.250683           ,2.246098            ,2.239828            ,2.237900            ,2.235242
pwtk.mtx                     ,2      ,    ,=80+80          ,510  , 3.774048e+01 , 1.474175e-03 , 510       ,0.563855           ,4.436983           ,4.434855            ,4.432898            ,4.427107            ,4.425511
pwtk.mtx                     ,4      ,    ,=80+80          ,510  , 3.780890e+01 , 1.474176e-03 , 510       ,0.549207           ,8.736655           ,8.731263            ,8.726709            ,8.723652            ,8.703773
pwtk.mtx                     ,8      ,    ,=80+80          ,510  , 3.645147e+01 , 1.474176e-03 , 510       ,0.543613           ,16.465269          ,16.451824           ,16.451106           ,16.445961           ,16.424333
pwtk.mtx                     ,16     ,    ,=80+80          ,510  , 3.795610e+01 , 1.474180e-03 , 510       ,0.546049           ,30.847214          ,30.813556           ,30.790816           ,30.772817           ,30.719932
pwtk.mtx                     ,32     ,    ,=80+80          ,510  , 3.696107e+01 , 1.474186e-03 , 510       ,0.598560           ,49.389533          ,49.372680           ,49.344267           ,49.255201           ,49.100157
pwtk.mtx                     ,38     ,    ,=80+80          ,510  , 3.703049e+01 , 1.474231e-03 , 510       ,0.613663           ,49.762832          ,49.758255           ,49.702643           ,49.576739           ,49.522259
F1.mtx                       ,1      ,    ,=40             ,510  , 4.199741e+00 , 1.705273e-03 , 510       ,2.165015           ,2.228279           ,2.225051            ,2.222980            ,2.222656            ,2.221283
F1.mtx                       ,2      ,    ,=40             ,510  , 4.199751e+00 , 1.705273e-03 , 510       ,2.036197           ,4.316125           ,4.313468            ,4.312593            ,4.310790            ,4.310275
F1.mtx                       ,4      ,    ,=40             ,510  , 4.203121e+00 , 1.705273e-03 , 510       ,1.983130           ,8.227926           ,8.227143            ,8.224571            ,8.223101            ,8.217962
F1.mtx                       ,8      ,    ,=40             ,510  , 4.225092e+00 , 1.705273e-03 , 510       ,1.959251           ,14.772625          ,14.769980           ,14.766870           ,14.762376           ,14.760502
F1.mtx                       ,16     ,    ,=40             ,510  , 4.200759e+00 , 1.705273e-03 , 510       ,1.984182           ,20.330062          ,20.320270           ,20.302277           ,20.294736           ,20.273184
F1.mtx                       ,32     ,    ,=40             ,510  , 4.317833e+00 , 1.705272e-03 , 510       ,2.077957           ,37.425635          ,37.409490           ,37.379106           ,37.343117           ,37.339680
F1.mtx                       ,38     ,    ,=40             ,510  , 4.236990e+00 , 1.705272e-03 , 510       ,2.158185           ,41.516964          ,41.499016           ,41.464336           ,41.451440           ,41.439060
inline_1.mtx                 ,1      ,    ,=80+80          ,510  , 1.788521e+01 , 1.405885e-03 , 510       ,2.589833           ,2.230682           ,2.222855            ,2.221340            ,2.221165            ,2.220704
inline_1.mtx                 ,2      ,    ,=80+80          ,510  , 1.788521e+01 , 1.405885e-03 , 510       ,2.420235           ,4.380664           ,4.373127            ,4.367112            ,4.365891            ,4.364230
inline_1.mtx                 ,4      ,    ,=80+80          ,510  , 1.788521e+01 , 1.405885e-03 , 510       ,2.347887           ,8.562060           ,8.557995            ,8.555124            ,8.551831            ,8.547721
inline_1.mtx                 ,8      ,    ,=80+80          ,510  , 1.788521e+01 , 1.405885e-03 , 510       ,2.314989           ,16.196013          ,16.188130           ,16.187305           ,16.179752           ,16.172615
inline_1.mtx                 ,16     ,    ,=80+80          ,510  , 1.788518e+01 , 1.405885e-03 , 510       ,2.290763           ,29.497170          ,29.486764           ,29.472348           ,29.449495           ,29.418104
inline_1.mtx                 ,32     ,    ,=80+80          ,510  , 1.723322e+01 , 1.405885e-03 , 510       ,2.358794           ,42.411040          ,42.394437           ,42.382541           ,42.371502           ,42.238247
inline_1.mtx                 ,38     ,    ,=80+80          ,510  , 1.603149e+01 , 1.405887e-03 , 510       ,2.410713           ,45.518114          ,45.489705           ,45.469856           ,45.431035           ,45.362853
gsm_106857.mtx               ,1      ,    ,=80+80          ,530  , 1.466778e-05 , 2.169693e-04 , 530       ,2.089028           ,2.194512           ,2.193613            ,2.193348            ,2.193102            ,2.192070
gsm_106857.mtx               ,2      ,    ,=80+80          ,530  , 1.462236e-05 , 2.169684e-04 , 530       ,1.955005           ,4.297099           ,4.296444            ,4.295111            ,4.293873            ,4.288236
gsm_106857.mtx               ,4      ,    ,=80+80          ,530  , 1.458947e-05 , 2.169666e-04 , 530       ,1.878511           ,8.239034           ,8.237555            ,8.236924            ,8.230981            ,8.229887
gsm_106857.mtx               ,8      ,    ,=80+80          ,530  , 1.441397e-05 , 2.169647e-04 , 530       ,1.869763           ,14.860674          ,14.858089           ,14.855413           ,14.851860           ,14.834315
gsm_106857.mtx               ,16     ,    ,=80+80          ,530  , 1.440526e-05 , 2.171244e-04 , 530       ,1.904490           ,21.606666          ,21.597002           ,21.594328           ,21.584483           ,21.557146
gsm_106857.mtx               ,32     ,    ,=80+80          ,530  , 1.440053e-05 , 2.174732e-04 , 530       ,1.969640           ,42.880406          ,42.808689           ,42.803575           ,42.756573           ,42.734814
gsm_106857.mtx               ,38     ,    ,=80+80          ,530  , 1.437564e-05 , 2.174591e-04 , 530       ,2.014965           ,39.513780          ,39.503130           ,39.484242           ,39.465179           ,39.433455
Fault_639.mtx                ,1      ,    ,=40             ,510  , 1.901316e+07 , 1.220078e-03 , 510       ,1.582710           ,2.153425           ,2.153071            ,2.152236            ,2.151435            ,2.151204
Fault_639.mtx                ,2      ,    ,=40             ,510  , 1.901764e+07 , 1.220078e-03 , 510       ,1.439231           ,4.227593           ,4.226063            ,4.225573            ,4.224932            ,4.224486
Fault_639.mtx                ,4      ,    ,=40             ,510  , 1.958982e+07 , 1.220078e-03 , 510       ,1.353662           ,7.779526           ,7.776432            ,7.775610            ,7.773656            ,7.767465
Fault_639.mtx                ,8      ,    ,=40             ,510  , 2.027191e+07 , 1.220078e-03 , 510       ,1.321750           ,14.215322          ,14.214480           ,14.212257           ,14.210580           ,14.204041
Fault_639.mtx                ,16     ,    ,=40             ,510  , 2.075289e+07 , 1.220118e-03 , 510       ,1.396819           ,21.428539          ,21.427828           ,21.421368           ,21.418898           ,21.409157
Fault_639.mtx                ,32     ,    ,=40             ,510  , 2.165653e+07 , 1.220139e-03 , 510       ,1.460943           ,42.436603          ,42.416378           ,42.378300           ,42.358977           ,42.304092
Fault_639.mtx                ,38     ,    ,=40             ,510  , 2.217491e+07 , 1.220145e-03 , 510       ,1.478605           ,45.905149          ,45.883505           ,45.842315           ,45.826831           ,45.803770
Hubbard-12.mtx               ,1      ,    ,=80+80          ,860  , 1.938458e-07 , 2.084681e-06 , 480       ,0.502783           ,1.612567           ,1.612213            ,1.611512            ,1.610785            ,1.607611
Hubbard-12.mtx               ,2      ,    ,=80+80          ,860  , 2.416731e-07 , 2.088103e-06 , 680       ,0.344410           ,3.072576           ,3.072013            ,3.071172            ,3.069858            ,3.065682
Hubbard-12.mtx               ,4      ,    ,=80+80          ,860  , 2.495171e-07 , 2.086104e-06 , 750       ,0.276129           ,5.856444           ,5.855322            ,5.853305            ,5.850423            ,5.835787
Hubbard-12.mtx               ,8      ,    ,=80+80          ,860  , 3.805866e-07 , 2.427328e-06 , 860       ,0.257955           ,9.079041           ,9.077953            ,9.074553            ,9.070503            ,9.068469
Hubbard-12.mtx               ,16     ,    ,=80+80          ,860  , 2.913895e-07 , 2.250992e-06 , 860       ,0.309551           ,19.881321          ,19.878063           ,19.866974           ,19.864343           ,19.838397
Hubbard-12.mtx               ,32     ,    ,=80+80          ,860  , 3.643283e-07 , 2.404524e-06 , 860       ,0.363662           ,30.046244          ,30.025038           ,30.010945           ,29.990044           ,29.946387
Hubbard-12.mtx               ,38     ,    ,=80+80          ,860  , 3.475509e-07 , 2.402411e-06 , 860       ,0.436628           ,37.848479          ,37.821204           ,37.811679           ,37.733053           ,37.503941
Emilia_923.mtx               ,1      ,    ,=80+80          ,500  , 1.650438e+05 , 1.031954e-03 , 500       ,2.209472           ,2.144773           ,2.144143            ,2.143600            ,2.143295            ,2.143024
Emilia_923.mtx               ,2      ,    ,=80+80          ,500  , 1.652688e+05 , 1.031954e-03 , 500       ,2.014413           ,4.212729           ,4.212419            ,4.212152            ,4.211586            ,4.210189
Emilia_923.mtx               ,4      ,    ,=80+80          ,500  , 1.707675e+05 , 1.031954e-03 , 500       ,1.914600           ,8.144254           ,8.143623            ,8.141428            ,8.139242            ,8.123822
Emilia_923.mtx               ,8      ,    ,=80+80          ,500  , 1.865475e+05 , 1.031954e-03 , 500       ,1.868503           ,15.120754          ,15.119780           ,15.118609           ,15.116074           ,15.110140
Emilia_923.mtx               ,16     ,    ,=80+80          ,500  , 2.029273e+05 , 1.031954e-03 , 500       ,1.864006           ,27.631348          ,27.627134           ,27.588450           ,27.535894           ,27.515064
Emilia_923.mtx               ,32     ,    ,=80+80          ,500  , 2.111048e+05 , 1.031954e-03 , 500       ,2.019409           ,33.555527          ,33.537278           ,33.512222           ,33.487399           ,33.383869
Emilia_923.mtx               ,38     ,    ,=80+80          ,500  , 2.070205e+05 , 1.031954e-03 , 500       ,2.035442           ,42.339865          ,42.276192           ,42.252299           ,42.217927           ,42.216844
audikw_1.mtx                 ,1      ,    ,=80+80          ,480  , 1.407086e+02 , 4.308458e-04 , 480       ,5.909416           ,2.225593           ,2.224392            ,2.224116            ,2.223979            ,2.222974
audikw_1.mtx                 ,2      ,    ,=80+80          ,480  , 1.405044e+02 , 4.308471e-04 , 480       ,5.538763           ,4.369926           ,4.368034            ,4.367800            ,4.367223            ,4.366784
audikw_1.mtx                 ,4      ,    ,=80+80          ,480  , 1.403034e+02 , 4.308489e-04 , 480       ,5.360627           ,8.120310           ,8.119235            ,8.118150            ,8.116276            ,8.112674
audikw_1.mtx                 ,8      ,    ,=80+80          ,480  , 1.393209e+02 , 4.308523e-04 , 480       ,5.275714           ,14.548323          ,14.545324           ,14.540795           ,14.532824           ,14.523261
audikw_1.mtx                 ,16     ,    ,=80+80          ,480  , 1.536797e+02 , 4.310344e-04 , 480       ,5.328067           ,25.254302          ,25.251002           ,25.245079           ,25.237452           ,25.209060
audikw_1.mtx                 ,32     ,    ,=80+80          ,480  , 1.508992e+02 , 4.310658e-04 , 480       ,5.490524           ,40.408614          ,40.397951           ,40.391871           ,40.372821           ,40.276471
audikw_1.mtx                 ,38     ,    ,=80+80          ,480  , 1.479190e+02 , 4.313794e-04 , 480       ,5.395284           ,43.794129          ,43.773724           ,43.769920           ,43.751924           ,43.725260
ldoor.mtx                    ,1      ,    ,=80+80          ,500  , 1.869242e+01 , 7.596172e-04 , 500       ,2.647759           ,2.223736           ,2.222245            ,2.222006            ,2.221828            ,2.221591
ldoor.mtx                    ,2      ,    ,=80+80          ,500  , 1.869361e+01 , 7.596173e-04 , 500       ,2.393669           ,4.394278           ,4.392046            ,4.391543            ,4.390490            ,4.390093
ldoor.mtx                    ,4      ,    ,=80+80          ,500  , 1.896933e+01 , 7.596172e-04 , 500       ,2.294643           ,8.475829           ,8.474869            ,8.474247            ,8.472960            ,8.469205
ldoor.mtx                    ,8      ,    ,=80+80          ,500  , 1.909278e+01 , 7.596165e-04 , 500       ,2.185926           ,16.063980          ,16.060976           ,16.059801           ,16.054780           ,16.044020
ldoor.mtx                    ,16     ,    ,=80+80          ,500  , 1.956641e+01 , 7.596160e-04 , 500       ,2.207314           ,29.531494          ,29.519427           ,29.507483           ,29.491983           ,29.478390
ldoor.mtx                    ,32     ,    ,=80+80          ,500  , 2.044187e+01 , 7.596148e-04 , 500       ,2.313937           ,43.583469          ,43.571747           ,43.555075           ,43.513094           ,43.471357
ldoor.mtx                    ,38     ,    ,=80+80          ,500  , 2.035845e+01 , 7.596132e-04 , 500       ,2.362556           ,43.876685          ,43.861137           ,43.837658           ,43.804151           ,43.789160
bone010.mtx                  ,1      ,    ,=80+80          ,500  , 1.063439e-02 , 1.006179e-03 , 500       ,0.797496           ,2.190807           ,2.187716            ,2.187440            ,2.187001            ,2.186019
bone010.mtx                  ,2      ,    ,=80+80          ,500  , 1.063439e-02 , 1.006179e-03 , 500       ,0.482609           ,4.302036           ,4.301814            ,4.300397            ,4.299639            ,4.298889
bone010.mtx                  ,4      ,    ,=80+80          ,500  , 1.063455e-02 , 1.006179e-03 , 500       ,0.317646           ,8.321718           ,8.320621            ,8.319575            ,8.318948            ,8.314828
bone010.mtx                  ,8      ,    ,=80+80          ,500  , 1.066405e-02 , 1.006179e-03 , 500       ,0.257121           ,15.279240          ,15.275126           ,15.273318           ,15.271870           ,15.264944
