Matrix                       ,Thread ,RCM ,Iter ,ResNorm       ,ErrNorm       ,ActualIter ,Preprocessing-time ,Perf_COLOR_KACZ_Q0 ,Perf_COLOR_KACZ_Q25 ,Perf_COLOR_KACZ_Q50 ,Perf_COLOR_KACZ_Q75 ,Perf_COLOR_KACZ_Q100 
crankseg_1.mtx               ,38     ,    ,480  , 2.414911e+04 , 2.493957e-03 , 480       ,9.006076           ,8.597816           ,8.588076            ,8.581266            ,8.568576            ,8.556022
ship_003.mtx                 ,38     ,    ,500  , 8.540227e+10 , 2.030549e-03 , 500       ,8.315364           ,39.998284          ,39.961853           ,39.924948           ,39.825931           ,39.493459
shipsec1.mtx                 ,38     ,    ,500  , 2.655670e+06 , 1.935294e-03 , 500       ,8.282587           ,50.873143          ,50.844571           ,50.829015           ,50.774618           ,50.673692
bmw7st_1.mtx                 ,38     ,    ,510  , 2.682220e+08 , 2.047464e-03 , 510       ,7.904841           ,48.855782          ,48.836558           ,48.780776           ,48.381839           ,48.035642
gearbox.mtx                  ,38     ,    ,520  , 1.446324e-07 , 2.789051e-05 , 520       ,9.857254           ,41.896856          ,41.866610           ,41.844805           ,41.691377           ,40.352094
pwtk.mtx                     ,38     ,    ,520  , 4.594943e+01 , 1.474424e-03 , 520       ,12.020360          ,46.394051          ,46.348418           ,46.330594           ,46.302643           ,46.198512
F1.mtx                       ,38     ,    ,500  , 4.654095e+00 , 1.705273e-03 , 500       ,34.229673          ,35.220236          ,35.203509           ,35.173311           ,35.160887           ,35.057572
inline_1.mtx                 ,38     ,    ,520  , 1.311781e+01 , 1.405877e-03 , 510       ,44.665589          ,39.531494          ,39.527784           ,39.506490           ,39.483492           ,39.386477
gsm_106857.mtx               ,38     ,    ,490  , 1.435938e-05 , 2.177534e-04 , 490       ,34.062068          ,38.509084          ,38.476025           ,38.449919           ,38.440157           ,38.341982
Fault_639.mtx                ,38     ,    ,500  , 2.259242e+07 , 1.220165e-03 , 500       ,44.926649          ,40.962913          ,40.952765           ,40.939822           ,40.888377           ,40.751908
Hubbard-12.mtx               ,38     ,    ,790  , 2.096362e-07 , 2.093597e-06 , 790       ,68.607940          ,8.279165           ,8.275489            ,8.269660            ,8.263126            ,8.255068
Emilia_923.mtx               ,38     ,    ,490  , 2.059732e+05 , 1.031957e-03 , 490       ,62.547592          ,41.259073          ,41.252570           ,41.245574           ,41.235660           ,41.110105
audikw_1.mtx                 ,38     ,    ,480  , 1.366496e+02 , 4.310306e-04 , 480       ,106.909538         ,40.330207          ,40.318527           ,40.305102           ,40.291157           ,40.284548
ldoor.mtx                    ,38     ,    ,500  , 2.004155e+01 , 7.595793e-04 , 500       ,50.357802          ,46.925424          ,46.911423           ,46.877107           ,46.829007           ,46.795423
bone010.mtx                  ,38     ,    ,500  , 1.182878e-02 , 1.006180e-03 , 500       ,99.021974          ,41.715931          ,41.705576           ,41.686358           ,41.632211           ,41.509969
dielFilterV3real.mtx         ,38     ,    ,510  , 4.477621e-05 , 3.715897e-04 , 510       ,115.958112         ,42.844400          ,42.841832           ,42.839194           ,42.824099           ,42.779369
thermal2.mtx                 ,38     ,    ,510  , 2.083259e-06 , 9.012744e-04 , 510       ,27.794492          ,35.995393          ,35.894640           ,35.845875           ,35.786144           ,35.713865
Serena.mtx                   ,38     ,    ,500  , 1.209595e+07 , 8.367835e-04 , 500       ,110.158139         ,39.970012          ,39.930752           ,39.926009           ,39.922922           ,39.847437
Geo_1438.mtx                 ,38     ,    ,500  , 1.124440e+06 , 8.126726e-04 , 500       ,107.070000         ,43.157767          ,43.143508           ,43.123777           ,43.082396           ,42.930218
Hook_1498.mtx                ,38     ,    ,510  , 1.186226e-01 , 7.886320e-04 , 510       ,108.241883         ,42.778182          ,42.769930           ,42.755215           ,42.739044           ,42.684441
ML_Geer.mtx                  ,38     ,    ,510  , 1.502770e+01 , 8.075806e-04 , 510       ,139.066706         ,47.106896          ,47.091625           ,47.083847           ,47.073870           ,47.045667
cage14.mtx                   ,38     ,    ,60   , 3.105123e-18 , 1.727071e-17 , 60        ,129.038622         ,11.126825          ,11.117327           ,11.101740           ,11.079222           ,11.034983
af_shell10.mtx               ,38     ,    ,500  , 3.879888e-02 , 6.316670e-04 , 500       ,68.266775          ,47.223622          ,47.220861           ,47.201977           ,47.185108           ,47.088734
Flan_1565.mtx                ,38     ,    ,460  , 2.109080e+01 , 7.851929e-04 , 460       ,163.347785         ,43.567281          ,43.564382           ,43.555015           ,43.528086           ,43.430690
G3_circuit.mtx               ,38     ,    ,510  , 7.234079e-04 , 7.835595e-04 , 510       ,39.401091          ,33.981299          ,33.970292           ,33.938677           ,33.774534           ,33.430323
