THREAD,   PERF (GFlop/s),         MEM (GB),          L3 (GB),          L2 (GB),          FS (MB)
    1,         0.471680,         372.6006,               -1,               -1,               -1
    2,         0.912389,         370.6579,               -1,               -1,               -1
    3,         1.306524,         368.6190,               -1,               -1,               -1
    4,         1.667236,         367.0389,               -1,               -1,               -1
    5,         2.010446,         365.4041,               -1,               -1,               -1
    6,         2.298127,         362.9198,               -1,               -1,               -1
    7,         2.460350,         360.4266,               -1,               -1,               -1
    8,         2.975891,         358.8097,               -1,               -1,               -1
    9,         3.256276,         354.6523,               -1,               -1,               -1
   10,         3.360540,         352.6046,               -1,               -1,               -1
   11,         3.765838,         354.9303,               -1,               -1,               -1
   12,         3.960207,         347.4505,               -1,               -1,               -1
   13,         3.811053,         345.1863,               -1,               -1,               -1
   14,         4.317386,         341.6880,               -1,               -1,               -1
   15,         4.535670,         339.5103,               -1,               -1,               -1
   16,         4.674274,         347.3040,               -1,               -1,               -1
   17,         4.818513,         336.8912,               -1,               -1,               -1
   18,         4.967951,         335.5965,               -1,               -1,               -1
   19,         4.942386,         333.4421,               -1,               -1,               -1
   20,         5.129032,         333.5604,         685.4065,         590.1825,               -1
