Counter | 	             Matrix | 	MKL_SpMV| 	 MKL_SpMTV| 	 MKL_SymmSpMV| 	 MKL_SymmSpMV_IE| 	 
     0 | 	  Anderson-16.5.mtx | 	1.174614 | 	 1.011664 | 	 1.119606 | 	 1.810930 | 	 
     1 | 	       audikw_1.mtx | 	1.956905 | 	 1.709883 | 	 1.738971 | 	 2.077027 | 	 
     2 | 	        bone010.mtx | 	2.005389 | 	 1.741919 | 	 1.597282 | 	 2.122696 | 	 
     3 | 	 channel-500x100x100-b050.mtx | 	1.861416 | 	 1.631788 | 	 1.474567 | 	 1.986913 | 	 
     4 | 	     crankseg_1.mtx | 	2.171627 | 	 1.864495 | 	 1.897479 | 	 2.030702 | 	 
     5 | 	   delaunay_n24.mtx | 	0.837903 | 	 0.808578 | 	 0.753892 | 	 0.843160 | 	 
     6 | 	 dielFilterV3real.mtx | 	1.955419 | 	 1.690631 | 	 1.679788 | 	 2.103866 | 	 
     7 | 	     Emilia_923.mtx | 	1.996419 | 	 1.675542 | 	 1.369020 | 	 1.801858 | 	 
     8 | 	             F1.mtx | 	1.963496 | 	 1.699669 | 	 1.725302 | 	 2.089799 | 	 
     9 | 	      Fault_639.mtx | 	1.881138 | 	 1.616839 | 	 1.336040 | 	 1.986032 | 	 
    10 | 	      Flan_1565.mtx | 	2.193155 | 	 1.736280 | 	 1.548291 | 	 2.094768 | 	 
    11 | 	 FreeBosonChain-18.mtx | 	1.366403 | 	 1.187810 | 	 0.951248 | 	 1.429272 | 	 
    12 | 	 FreeFermionChain-26.mtx | 	1.499220 | 	 1.222089 | 	 1.098337 | 	 1.470736 | 	 
    13 | 	     G3_circuit.mtx | 	0.984235 | 	 0.930673 | 	 0.873184 | 	 1.393872 | 	 
    14 | 	       Geo_1438.mtx | 	1.978657 | 	 1.625884 | 	 1.346726 | 	 1.773307 | 	 
    15 | 	  Graphene-4096.mtx | 	1.651648 | 	 1.495995 | 	 1.413887 | 	 1.890527 | 	 
    16 | 	     gsm_106857.mtx | 	1.776152 | 	 1.699243 | 	 1.444787 | 	 2.095347 | 	 
    17 | 	      Hook_1498.mtx | 	1.766859 | 	 1.717647 | 	 1.495158 | 	 1.997655 | 	 
    18 | 	       HPCG-192.mtx | 	1.807951 | 	 1.611397 | 	 1.343831 | 	 1.704452 | 	 
    19 | 	     Hubbard-12.mtx | 	1.433767 | 	 1.217041 | 	 1.139453 | 	 1.593827 | 	 
    20 | 	     Hubbard-14.mtx | 	1.484987 | 	 1.111450 | 	 1.070370 | 	 1.422321 | 	 
    21 | 	       inline_1.mtx | 	1.975699 | 	 1.758184 | 	 1.709101 | 	 2.146249 | 	 
    22 | 	      nlpkkt120.mtx | 	1.737451 | 	 1.724928 | 	 1.443998 | 	 2.101568 | 	 
    23 | 	      nlpkkt200.mtx | 	1.822177 | 	 1.687544 | 	 1.433106 | 	 1.378478 | 	 
    24 | 	       offshore.mtx | 	1.447446 | 	 1.173585 | 	 1.099482 | 	 1.527577 | 	 
    25 | 	  parabolic_fem.mtx | 	1.404327 | 	 1.064595 | 	 1.037727 | 	 1.760940 | 	 
    26 | 	           pwtk.mtx | 	1.958276 | 	 1.710991 | 	 1.590805 | 	 1.395419 | 	 
    27 | 	         Serena.mtx | 	1.956167 | 	 1.726894 | 	 1.390587 | 	 1.834985 | 	 
    28 | 	       ship_003.mtx | 	2.029020 | 	 1.834500 | 	 1.542903 | 	 1.892230 | 	 
    29 | 	        Spin-26.mtx | 	1.499291 | 	 1.131840 | 	 1.104441 | 	 1.503373 | 	 
    30 | 	       thermal2.mtx | 	0.988494 | 	 0.901688 | 	 0.946348 | 	 1.306592 | 	 
