THREAD,   PERF (GFlop/s),         MEM (GB),          L3 (GB),          L2 (GB),          FS (MB)
    1,         1.080913,          23.6995,          27.8661,          27.8344,           0.0096
    2,         2.123681,          23.6234,          27.8841,          27.8630,           0.3851
    3,         3.108899,          23.6460,          27.8637,          27.8550,           0.2030
    4,         3.964483,          23.6637,          27.8692,          27.8557,           0.3797
    5,         4.773552,          23.7248,          27.8548,          27.8570,           0.3033
    6,         5.151874,          23.7537,          27.8541,          27.8549,           0.2963
    7,         5.169551,          23.9421,          27.8525,          27.8587,           0.4993
    8,         5.110933,          24.0329,          27.8386,          27.8647,           0.5371
    9,         5.240635,          24.2522,          27.8168,          27.8650,           0.6375
   10,         5.064180,          24.3297,          27.7957,          27.8679,           0.6567
