THREAD,   PERF (GFlop/s),         MEM (GB),          L3 (GB),          L2 (GB),          FS (MB)
    1,         0.753317,          24.6446,          28.9212,          28.7699,           0.0149
    2,         1.497771,          24.5175,          28.9465,          28.7626,           0.7957
    3,         2.237340,          24.4872,          28.9155,          28.7588,           0.6713
    4,         2.934790,          24.4883,          28.9044,          28.7669,           0.6883
    5,         3.633835,          24.5525,          28.9088,          28.7718,           0.4712
    6,         4.283942,          24.6319,          28.8835,          28.7687,           0.5296
    7,         4.661066,          24.8411,          28.8558,          28.7798,           0.6153
    8,         4.752003,          24.9433,          28.8236,          28.8013,           0.7173
    9,         4.942403,          25.1276,          28.7914,          28.7856,           0.7894
   10,         4.860037,          25.2263,          28.7673,          28.7939,           0.5355
