THREAD,   PERF (GFlop/s),         MEM (GB),          L3 (GB),          L2 (GB),          FS (MB)
    1,         1.052105,          24.5436,          28.6986,          28.7150,           0.0186
    2,         2.057374,          24.4583,          28.7104,          28.7128,           0.5488
    3,         3.067721,          24.4474,          28.6829,          28.7047,           0.4822
    4,         3.938585,          24.4725,          28.6859,          28.7099,           0.1220
    5,         4.680505,          24.5215,          28.6709,          28.7122,           0.2392
    6,         4.996064,          24.5808,          28.6726,          28.7078,           0.2649
    7,         5.010594,          24.7440,          28.6734,          28.7218,           0.4072
    8,         4.939483,          24.8565,          28.6581,          28.7287,           0.6557
    9,         5.052560,          25.0789,          28.6346,          28.7293,           0.6114
   10,         4.979211,          25.2018,          28.6151,          28.7313,           0.5319
