THREAD,   PERF (GFlop/s),         MEM (GB),          L3 (GB),          L2 (GB),          FS (MB)
    1,         0.369482,         461.4815,               -1,               -1,               -1
    2,         0.658247,         429.7812,               -1,               -1,               -1
    3,         0.918339,         418.3060,               -1,               -1,               -1
    4,         1.170095,         405.7055,               -1,               -1,               -1
    5,         1.372192,         425.6473,               -1,               -1,               -1
    6,         1.585529,         409.7211,               -1,               -1,               -1
    7,         1.831847,         444.9673,               -1,               -1,               -1
    8,         2.048613,         390.6311,               -1,               -1,               -1
    9,         2.279806,         351.8892,               -1,               -1,               -1
   10,         2.404006,         379.6067,               -1,               -1,               -1
   11,         2.635321,         340.5486,               -1,               -1,               -1
   12,         2.848373,         386.9344,               -1,               -1,               -1
   13,         3.052099,         381.9973,               -1,               -1,               -1
   14,         3.230896,         368.3841,               -1,               -1,               -1
   15,         3.376256,         383.7905,               -1,               -1,               -1
   16,         3.618495,         383.8890,               -1,               -1,               -1
   17,         3.805268,         358.1202,               -1,               -1,               -1
   18,         3.981969,         398.0454,               -1,               -1,               -1
   19,         4.101010,         392.0876,               -1,               -1,               -1
   20,         4.195007,         401.3881,         995.6114,         775.5639,               -1
