Counter | 	             Matrix | 	MKL_SpMV| 	 MKL_SpMTV| 	 MKL_SymmSpMV| 	 MKL_SymmSpMV_IE| 	 
     0 | 	  Anderson-16.5.mtx | 	5.211025 | 	 1.802178 | 	 2.791974 | 	 5.228386 | 	 
     1 | 	       audikw_1.mtx | 	7.181654 | 	 5.978246 | 	 9.635613 | 	 7.270711 | 	 
     2 | 	        bone010.mtx | 	7.214559 | 	 5.878757 | 	 9.355482 | 	 7.310616 | 	 
     3 | 	 channel-500x100x100-b050.mtx | 	6.252774 | 	 3.267849 | 	 5.674562 | 	 6.510791 | 	 
     4 | 	     crankseg_1.mtx | 	7.391667 | 	 6.248313 | 	 11.128465 | 	 7.436637 | 	 
     5 | 	   delaunay_n24.mtx | 	4.693660 | 	 1.420081 | 	 2.334289 | 	 4.282051 | 	 
     6 | 	 dielFilterV3real.mtx | 	7.156261 | 	 5.964236 | 	 9.515383 | 	 7.213670 | 	 
     7 | 	     Emilia_923.mtx | 	7.022496 | 	 5.146332 | 	 7.653975 | 	 7.038478 | 	 
     8 | 	             F1.mtx | 	7.284015 | 	 5.942614 | 	 9.551300 | 	 7.359055 | 	 
     9 | 	      Fault_639.mtx | 	6.960603 | 	 5.167995 | 	 7.638684 | 	 7.030934 | 	 
    10 | 	      Flan_1565.mtx | 	7.287457 | 	 5.864944 | 	 9.350138 | 	 7.301248 | 	 
    11 | 	 FreeBosonChain-18.mtx | 	5.752017 | 	 2.380631 | 	 3.893175 | 	 5.201998 | 	 
    12 | 	 FreeFermionChain-26.mtx | 	5.409494 | 	 2.390696 | 	 3.933269 | 	 5.025722 | 	 
    13 | 	     G3_circuit.mtx | 	4.826937 | 	 1.473632 | 	 2.152974 | 	 4.823655 | 	 
    14 | 	       Geo_1438.mtx | 	6.986155 | 	 5.052118 | 	 7.579913 | 	 7.004695 | 	 
    15 | 	  Graphene-4096.mtx | 	6.293212 | 	 2.643752 | 	 4.536225 | 	 6.337618 | 	 
    16 | 	     gsm_106857.mtx | 	6.814587 | 	 4.867073 | 	 7.154168 | 	 6.928588 | 	 
    17 | 	      Hook_1498.mtx | 	6.929315 | 	 4.890544 | 	 7.477870 | 	 6.984663 | 	 
    18 | 	       HPCG-192.mtx | 	6.626783 | 	 3.752210 | 	 6.531385 | 	 6.690319 | 	 
    19 | 	     Hubbard-12.mtx | 	5.857076 | 	 2.945483 | 	 4.096888 | 	 5.916970 | 	 
    20 | 	     Hubbard-14.mtx | 	5.574583 | 	 2.539770 | 	 4.401553 | 	 5.655252 | 	 
    21 | 	       inline_1.mtx | 	7.278270 | 	 5.901220 | 	 9.395408 | 	 7.322114 | 	 
    22 | 	      nlpkkt120.mtx | 	6.541114 | 	 3.683017 | 	 6.323714 | 	 6.526693 | 	 
    23 | 	      nlpkkt200.mtx | 	6.487564 | 	 3.705170 | 	 6.453068 | 	 3.673569 | 	 
    24 | 	       offshore.mtx | 	6.408492 | 	 3.391335 | 	 4.785465 | 	 6.501914 | 	 
    25 | 	  parabolic_fem.mtx | 	5.406702 | 	 2.048078 | 	 2.954116 | 	 5.432528 | 	 
    26 | 	           pwtk.mtx | 	7.256906 | 	 5.476965 | 	 8.323775 | 	 7.285503 | 	 
    27 | 	         Serena.mtx | 	6.834216 | 	 4.956860 | 	 7.445075 | 	 6.899507 | 	 
    28 | 	       ship_003.mtx | 	7.273372 | 	 5.844256 | 	 8.900876 | 	 7.312236 | 	 
    29 | 	        Spin-26.mtx | 	5.567883 | 	 2.447997 | 	 4.352097 | 	 5.627355 | 	 
    30 | 	       thermal2.mtx | 	5.405101 | 	 2.008371 | 	 2.736796 | 	 5.448473 | 	 
