  THREAD 	    eps_1 	    eps_2 	      Eff 	 maxDepth 	       Time
       1 	       80 	       50 	 1.000000 	        1 	 93807.915640
       2 	       80 	       50 	 0.979238 	        1 	 89934.180180
       3 	       80 	       50 	 0.972900 	        1 	 89146.335627
       4 	       80 	       50 	 0.969714 	        1 	 88484.055291
       5 	       80 	       50 	 0.978490 	        1 	 88484.747851
       6 	       80 	       50 	 0.973458 	        1 	 88316.686350
       7 	       80 	       50 	 0.957651 	        1 	 88864.235185
       8 	       80 	       50 	 0.947411 	        1 	 88301.620429
       9 	       80 	       50 	 0.959621 	        1 	 88088.658639
      10 	       80 	       50 	 0.944448 	        1 	 88468.763911
      11 	       80 	       50 	 0.921072 	        1 	 88220.184724
      12 	       80 	       50 	 0.914928 	        1 	 87850.915848
      13 	       80 	       50 	 0.910325 	        1 	 88117.766804
      14 	       80 	       50 	 0.892081 	        1 	 88309.505097
      15 	       80 	       50 	 0.934279 	        1 	 88273.148879
      16 	       80 	       50 	 0.913634 	        1 	 88102.228576
      17 	       80 	       50 	 0.907452 	        1 	 87817.434513
      18 	       80 	       50 	 0.893829 	        1 	 87926.245540
      19 	       80 	       50 	 0.868165 	        1 	 87713.543189
      20 	       80 	       50 	 0.871052 	        1 	 87878.705793
      25 	       80 	       50 	 0.878504 	        1 	 89332.412578
      30 	       80 	       50 	 0.833477 	        2 	 91558.663435
      35 	       80 	       50 	 0.835905 	        2 	 91563.440782
      40 	       80 	       50 	 0.831867 	        2 	 93593.215282
      45 	       80 	       50 	 0.836217 	        2 	 95449.377603
      50 	       80 	       50 	 0.825690 	        2 	 97087.545394
      60 	       80 	       50 	 0.799543 	        2 	 100481.304610
      70 	       80 	       50 	 0.764625 	        2 	 105749.035098
      80 	       80 	       50 	 0.718029 	        2 	 111124.048304
      90 	       80 	       50 	 0.754693 	        2 	 115434.171670
     100 	       80 	       50 	 0.650035 	        3 	 119047.569890
     120 	       80 	       50 	 0.772612 	        2 	 123629.609758
     140 	       80 	       50 	 0.688075 	        3 	 135363.386823
     160 	       80 	       50 	 0.513405 	        3 	 149643.621276
     180 	       80 	       50 	 0.558898 	        3 	 147718.015417
     200 	       80 	       50 	 0.486115 	        4 	 169828.192154
