THREAD             spmv         spmv_mkl            spmtv        symm_spmv               gs             kacz
    1         1.799311         1.920223         1.904071         2.874958         1.821103         2.558525
    2         3.412654         3.629362         3.599680         5.371320         3.498171         4.131939
    3         4.981391         5.316201         5.260311         7.807872         5.114677         7.166129
    4         6.426108         6.841434         6.833577        10.101809         6.610694         9.333593
    5         7.864584         8.349185         8.295799        12.339246         7.975141        11.442162
    6         9.251213         9.773615         9.677919        14.467454         9.344883        13.597394
    7        10.528878        11.090374        10.955609        16.530204        10.619614        15.668884
    8        11.805007        12.411006        12.291049        18.302477        11.931668        17.773273
    9        12.839788        13.318350        13.219513        19.792427        12.855991        19.720788
   10        13.443224        13.913813        13.670863        20.902944        13.338215        21.635541
   11        13.871643        14.340399        14.120140        21.478807        13.787199        23.630400
   12        14.112178        14.567450        14.393545        21.918668        14.023927        25.026156
   13        14.398113        14.896441        14.729927        22.639255        14.367779        25.900148
   14        14.663672        15.139544        14.916015        23.123266        14.556404        26.815027
   15        14.807834        15.289954        15.020249        23.482675        14.672252        27.403924
   16        14.810765        15.259031        15.102206        23.420760        14.747727        27.680053
   17        14.913579        15.355450        15.119403        23.659629        14.768734        28.173934
   18        14.986460        15.380319        15.175871        24.046673        14.826386        28.506268
   19        15.125061        15.580632        15.331247        24.224380        15.028328        29.026849
   20        15.062309        15.510956        15.263425        23.737245        14.919151        28.995872
