Counter | 	             Matrix | 	MKL_SpMV| 	   SpMTV| 	 Symm SpMV| 	 
     0 | 	  Anderson-16.5.mtx | 	10.900019 | 	 9.170386 | 	 9.605270 | 	 
     1 | 	       audikw_1.mtx | 	17.059072 | 	 15.527050 | 	 26.773144 | 	 
     2 | 	        bone010.mtx | 	16.644528 | 	 15.420984 | 	 25.998597 | 	 
     3 | 	 channel-500x100x100-b050.mtx | 	12.630283 | 	 10.704724 | 	 14.858202 | 	 
     4 | 	     crankseg_1.mtx | 	21.275091 | 	 5.321961 | 	 11.198986 | 	 
     5 | 	   delaunay_n24.mtx | 	9.910525 | 	 8.040801 | 	 9.546883 | 	 
     6 | 	 dielFilterV3real.mtx | 	16.716898 | 	 15.403632 | 	 27.122656 | 	 
     7 | 	     Emilia_923.mtx | 	16.824619 | 	 14.962445 | 	 24.526497 | 	 
     8 | 	             F1.mtx | 	18.011095 | 	 14.165520 | 	 24.475683 | 	 
     9 | 	      Fault_639.mtx | 	17.492248 | 	 14.935400 | 	 24.498829 | 	 
    10 | 	      Flan_1565.mtx | 	16.688630 | 	 15.298634 | 	 27.155631 | 	 
    11 | 	 FreeBosonChain-18.mtx | 	9.244772 | 	 3.977268 | 	 4.988385 | 	 
    12 | 	 FreeFermionChain-26.mtx | 	6.261642 | 	 3.985727 | 	 4.853501 | 	 
    13 | 	     G3_circuit.mtx | 	9.228590 | 	 8.762768 | 	 8.987108 | 	 
    14 | 	       Geo_1438.mtx | 	16.349593 | 	 14.744156 | 	 24.722981 | 	 
    15 | 	  Graphene-4096.mtx | 	13.017172 | 	 11.077838 | 	 16.047102 | 	 
    16 | 	     gsm_106857.mtx | 	16.868259 | 	 14.555358 | 	 23.422725 | 	 
    17 | 	      Hook_1498.mtx | 	15.984688 | 	 14.484766 | 	 22.803733 | 	 
    18 | 	       HPCG-192.mtx | 	13.132514 | 	 10.918858 | 	 16.473370 | 	 
    19 | 	     Hubbard-12.mtx | 	12.077963 | 	 2.680877 | 	 4.046577 | 	 
    20 | 	     Hubbard-14.mtx | 	6.366194 | 	 4.048519 | 	 5.185500 | 	 
    21 | 	       inline_1.mtx | 	17.270446 | 	 15.068493 | 	 25.563859 | 	 
    22 | 	      nlpkkt120.mtx | 	13.975487 | 	 11.835939 | 	 17.279764 | 	 
    23 | 	      nlpkkt200.mtx | 	12.265437 | 	 10.120771 | 	 15.120960 | 	 
    24 | 	       offshore.mtx | 	21.593971 | 	 8.924134 | 	 12.458177 | 	 
    25 | 	  parabolic_fem.mtx | 	16.989666 | 	 14.303231 | 	 14.936887 | 	 
    26 | 	           pwtk.mtx | 	20.002894 | 	 17.195664 | 	 32.548921 | 	 
    27 | 	         Serena.mtx | 	16.249047 | 	 13.614581 | 	 22.996604 | 	 
    28 | 	       ship_003.mtx | 	22.370065 | 	 14.362879 | 	 24.768035 | 	 
    29 | 	        Spin-26.mtx | 	6.708723 | 	 4.446492 | 	 5.575532 | 	 
    30 | 	       thermal2.mtx | 	12.534544 | 	 11.122819 | 	 12.667727 | 	 
